MajorCategory,SubCategory,NamedEntityClean,NamedEntity,FrequencyByAbstract,NewFrequency
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Cessation,Quitting Behavior,"Abstinence, Cessation, Quit, Smoke Cessation",24,16
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Cessation,Quit Attempt,Quit Attempt,4,4
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Cessation,Quit Rate,Quit Rate,3,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Cessation,Relapse,Relapse,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Cessation,Advice to Quit,Advice to Quit,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes","Exposure to Tobacco-Related or Anti-Tobacco Content, or Exposure to Secondhand/Thirdhand Smoking",Exposure,Exposure,5,5
"Tobacco Use Behaviors, Prevalence, and Outcomes",Health/Disease,Cancer,"Cancer, Lung Cancer",4,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Health/Disease,Cardiovascular Disease,cardiovascular disease,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Health/Disease,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Health/Disease,Heart Disease,Heart Disease,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Health/Disease,Mortality,Mortality,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Perception/Belief,Appeal,Appeal,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Perception/Belief,Risk,Risk,14,14
"Tobacco Use Behaviors, Prevalence, and Outcomes",Perception/Belief,Addiction,"Addiction, Tobacco Dependence",2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Prevalence,Prevalence,"Prevalence, Smoke Prevalence, Overall Prevalence",20,16
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Prevalence,Rate,Rate,9,9
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,1960,1960,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2000,2000,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2001,2001,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2005,2005,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2009,2009,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2010,2010,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2013,2013,4,4
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2014,2014,3,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2015,2015,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2017,2017,3,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2018,2018,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2019,2019,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2000-2001,2000-2001,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2005-2050,2005-2050,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2009-2010,2009-2010,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2011-2014,2011-2014,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2012-2013,2012-2013,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2013 2014,2013 2014,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2013-14,2013-14,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2013-2016,2013-2016,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,2017-2018,2017-2018,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,7 Day,7 Day,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,30 Day,30 Day,8,8
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,8 Weeks,8 Weeks,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,Past Month,Past Month,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,1 Month,1 Month,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,3 Month,3 Month,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,3-6 Months,3-6 Months,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,6 Month,6 Month,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,12 Month,12 Month,3,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,1 Year,1 Year,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,1.34 Years,1.34 Years,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Time Period,3.66 Years,3.66 Years,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,Cigarette Smoking,"Cigarette Smoking, Smoking Behavior, Current Smoking, Daily Smoking, Smoking Rate, Smoking Status, Former Smoker",28,17
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,E-cigarette Use,E Cigarette Use,2,2
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,Never Smokers,Never Smokers,1,1
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,Current Use of Any Tobacco Product,Current Use,3,3
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,Initiation of Any Tobacco Products,Initiation,5,5
"Tobacco Use Behaviors, Prevalence, and Outcomes",Tobacco Use Status,Substance Use,"Tobacco Use, Tobacco Smoking, Substance Use",16,16
Population Characteristics,Age Groups,Age,Age,13,13
Population Characteristics,Age Groups,12th Grade,12th Grade,1,1
Population Characteristics,Age Groups,High School,High School,2,2
Population Characteristics,Age Groups,Student,Student,3,3
Population Characteristics,Age Groups,≥16 Years,≥16 Years,1,1
Population Characteristics,Age Groups,18 Year,18 Year,2,2
Population Characteristics,Age Groups,26 Years,26 Years,1,1
Population Characteristics,Age Groups,18-25,18-25,1,1
Population Characteristics,Age Groups,18-29,18-29,1,1
Population Characteristics,Age Groups,Adolescent,"Adolescent, Youth",7,5
Population Characteristics,Age Groups,Young Adult,Young Adult,11,11
Population Characteristics,Age Groups,Adolecents and Young Adults (AYA) ,Young People,2,2
Population Characteristics,Age Groups,Adult,Adult,14,14
Population Characteristics,Sex,Female,Female,1,1
Population Characteristics,Sex,Male,Male,4,4
Population Characteristics,Sex,Woman,Woman,8,8
Population Characteristics,Sex,Man,Man,8,8
Population Characteristics,Sex,Sex,Sex,5,5
Population Characteristics,Sexual and Gender Minority Populations,Gender,Gender,8,8
Population Characteristics,Sexual and Gender Minority Populations,Intersex,Intersex,1,1
Population Characteristics,Sexual and Gender Minority Populations,Transgender Individuals,Transgender,13,13
Population Characteristics,Sexual and Gender Minority Populations,Cisgender Individuals,Cisgender,2,2
Population Characteristics,Sexual and Gender Minority Populations,Female-to-Male,Female-to-Male,1,1
Population Characteristics,Sexual and Gender Minority Populations,Male-to-Female,Male-to-Female,1,1
Population Characteristics,Sexual and Gender Minority Populations,Gender Minority Populations,Gender Minority,5,5
