Conference,Year,Title,PaperType,Matched,Abstract,Highlights,Link,AuthorNames,AuthorAffiliation
Tobacco Control,2015,"What do we know about unassisted smoking cessation in Australia? A systematic review, 2005–2012",Review Article,['questioning'],"Context A significant proportion of smokers who quit do so on their own without formal help (ie, without professionally or pharmacologically mediated assistance), yet research into how smokers quit focuses primarily on assisted methods of cessation. Objective The aim of the present work was to systematically review recent smoking cessation research in Australia, a nation advanced in tobacco control, to determine what is known about smokers who quit unassisted in order to (1) inform a research agenda to develop greater understanding of the many smokers who quit unassisted and (2) elucidate possible lessons for policy and mass communication about cessation. Methods In January 2013, four e-databases and the grey literature were searched for articles published between 2005 and 2012 on smoking cessation in Australia. Articles focusing solely on interventions designed to stimulate cessation were excluded, as were articles focusing solely on assisted cessation, leaving articles reporting on smokers who quit unassisted. Data from articles reporting on unassisted cessation were extracted and grouped into related categories. Results A total of 248 articles reported on smoking cessation, of which 63 focused solely on interventions designed to stimulate cessation, leaving 185 reporting on the method of cessation (‘how’ a smoker quits). Of these, 166 focused solely on assisted cessation, leaving 19 reporting, either directly or indirectly, on smokers who quit unassisted. Data from these studies indicated 54% to 69% of ex-smokers quit unassisted and 41% to 58% of current smokers had attempted to quit unassisted. Conclusions The majority of Australian smokers quit or attempt to quit unassisted, yet little research has been dedicated to understanding this process. Almost all research that reported unassisted cessation referenced it as a comparator to the focal point of assisted cessation. Public health may benefit from insights gained from greater research into the cessation method used by most smokers. Suggestions and a rationale for such research are provided. ","Attitudes and beliefs Why do so many smokers choose not to use assistance in the face of so much persuasion to do so? Why do smokers who quit on their own perceive assisted cessation to be a sign of weakness? Do ex-smokers inflate their own role in their quitting and downplay the role assistance played to their success? What characterises smokers who want to quit on their own: is it that they want to quit without pharmacotherapy or without any form of help at all (including help from GPs, quitline services and stop-smoking clinics)? Have smokers who quit unassisted tried assistance before and realised that motivation and determination are critically important components of quitting? Experiences How do those who quit unassisted find the experience in terms of its degree of difficulty? How does the experience of quitting unassisted compare with a smoker's expectations? Does the experience of quitting unassisted differ for those who are heavily addicted compared with less addicted smokers? Does the current focus on use of medications to quit mislead smokers about how hard or easy it will be to quit? Does marketing for pharmaceutical aids have any impact on smokers’ self-efficacy? Have smokers who successfully quit unassisted previous experience of quitting with assistance? If so, how has this informed they unassisted quit attempt? Processes How do those who successfully quit unassisted actually go about doing so? Is their success linked to deliberate quitting strategies or lifestyle factors (such as exercise, prayer, meditation or diet) that are not used by those who quit with assistance? Do successful unassisted quitters have common ‘meta-narratives’ or heuristics that they believe assisted their determination to quit and to not relapse? Are there exogenous (environmental) or endogenous (psychological) factors that many successful unassisted quitters have found useful? Is to possible to identify which smokers are likely to quit unassisted, and potentially put in place a spectrum of policy interventions for different types of smokers, which can more effectively and more efficiently help them quit earlier? Australia, with its history of vanguard tobacco control policies and fearlessness in questioning established dogmas, was thought to be the ideal place to assess what is currently known about smokers who quit on their own without formal help. Apart from confirming that the majority of Australian smokers do indeed quit on their own without formal help, we found little is known about this significant population and this potentially significant phenomenon. A consequence of the neglect of research into unassisted cessation is the lack of discourse in relation to the potential contribution that unassisted cessation—when promoted alongside existing policy and treatment practices—might make in reducing smoking prevalence at the population level. Given the important role that cessation plays in reducing prevalence, it is essential that we gain a greater understanding about how and why smokers quit on their own without formal help. Lessons learnt from such research are highly likely to be of direct relevance to policy and practice, particularly to informing mass media campaigns that reach all smokers, including those who might prefer to quit unassisted. ",http://dx.doi.org/10.1136/tobaccocontrol-2013-051019,Andrea L Smith; Simon Chapman; Sally M Dunlop; ,"Sydney School of Public Health, The University of Sydney; Sydney School of Public Health, The University of Sydney; Sydney School of Public Health, The University of Sydney; Cancer Institute NSW; "
Tobacco Control,2015,A novel approach for monitoring tobacco use in local communities by wastewater analysis,Research Article,['trans'],"Objective We propose a novel approach for measuring tobacco use in a community through the chemical analysis of nicotine metabolites in urban wastewater. It offers frequent monitoring and ‘real-time’, ‘evidence-based’ estimates of tobacco consumption which may complement epidemiological surveillance systems normally repeated only every few years. Methods Two urinary metabolites of nicotine, namely cotinine and trans-3′-hydroxycotinine, were selected as biomarkers of tobacco consumption in urban wastewater. During smoking, a known amount of nicotine is absorbed and after metabolism excreted as metabolites in urine, ending up in the wastewater; quantitative analysis of the metabolites in the wastewater allows back-calculation of the nicotine collectively absorbed by the population producing the sewage and, indirectly, their tobacco use. Representative samples of wastewater were collected from sewage treatment plants in eight Italian cities and analysed by mass spectrometry. Mass loads of the metabolites were used to estimate nicotine consumption. Results Wastewater analysis in the cities under study was used to estimate the number of cigarettes smoked, in order to compare the results of this study with those obtained from population surveys. The number of cigarettes calculated with the two methods were closely comparable and wastewater analysis was sufficiently sensitive to confirm the differences in tobacco consumption between northern and southern Italy, previously described in population surveys. Conclusions The described approach can serve as a supplementary indicator of tobacco consumption in local communities. This approach can provide objective and updated information, which are useful to assess the efficacy of tobacco-control interventions, with the aim of designing and implementing effective tobacco control plans. ","This paper describes a novel approach for measuring tobacco use based on wastewater analysis. The approach offers frequent monitoring and ‘real-time’, ‘evidence-based’ estimates of tobacco consumption. The number of cigarettes calculated through population surveys and wastewater analysis were closely comparable. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-051553,Sara Castiglioni; Ivan Senta; Andrea Borsotti; Enrico Davoli; Ettore Zuccato; ,IRCCS—Istituto di Ricerche Farmacologiche “Mario Negri”; Rudjer Boskovic Institute; IRCCS—Istituto di Ricerche Farmacologiche “Mario Negri”; IRCCS—Istituto di Ricerche Farmacologiche “Mario Negri”; IRCCS—Istituto di Ricerche Farmacologiche “Mario Negri”; 
Tobacco Control,2015,The impact of smoke-free legislation on reducing exposure to secondhand smoke: differences across gender and socioeconomic groups,Research Article,['gender'],"Background On 11 January 2009, Taiwan expanded its smoke-free legislation to all indoor public places and workplaces. This study examined the impact of this policy on secondhand smoke (SHS) exposure in adult non-smokers, across gender and socioeconomic status groups (SES). Methods An annual sample of about 13 000–14 000 non-smokers was drawn from cross-sectional nationwide data of Taiwan Adult Tobacco Behavior Surveys during 2005–2011. Logistic regressions were used to analyse the aggregate data to estimate the association between the 2009 smoke-free legislation and SHS exposures in homes and workplaces. Interaction terms were used to examine the impact of the 2009 smoke-free policy on reducing differences in SHS exposure across gender, education and income groups. Results The 2009 policy reduced the odds of SHS exposure in homes in 2009 (OR=0.76, 95% CI 0.68 to 0.84) and in workplaces (year 2009: OR=0.49, 95% CI 0.39 to 0.62; year 2010: OR=0.79, 95% CI 0.66 to 0.95). The model with interaction terms showed that men were more likely than women to be exposed to workplace SHS (OR=2.02, 95% CI 1.80 to 2.27) but were less likely to be exposed to home SHS (OR=0.79, 95% CI 0.73 to 0.86). SHS exposure in homes was significantly related to lower socioeconomic status, but the 2009 smoke-free policy reduced the difference in SHS exposure across education levels. Conclusions The 2009 smoke-free policy reduced the SHS exposure for non-smokers. However, this impact on home SHS did not persist after 2009, and the effect of protection was unequal across gender and SES groups. Thus, further enforcement of smoking restrictions would be needed to reduce the risk of SHS exposure and improve protection against SHS risk among parts of the population with lower socioeconomic status. ",This is a 3-year evaluation of reduction in secondhand smoke (SHS) exposure among non-smokers in workplaces and homes as a result of the enforcement of a national smoke-free law in year 2009. We examined the relationship between SHS exposure and socioeconomic status. We found a strong inverse association between education level and SHS exposure. Our study demonstrated the effect of smoke-free laws on reducing the differences in SHS exposure across education levels. ,http://dx.doi.org/10.1136/tobaccocontrol-2013-051004,Yi-Wen Tsai; Li-Chuan Chang; Hai-Yen Sung; Teh-wei Hu; Shu-Ti Chiou; ,"Institute of Health and Welfare Policy, National Yang-Ming University; Institute of Health and Welfare Policy, National Yang-Ming University; Institute for Health & Aging, University of California; School of Public Health, University of California, Berkeley, California, USA; Institution of Public Health & Department of Public Health, School of Medicine, National Yang-Ming University, Taipei, Taiwan, Republic of China; Health Promotion Administration, Ministry of Health and Welfare, New Taipei City, Taiwan, Republic of China; "
Tobacco Control,2015,What will it take to get to under 5% smoking prevalence by 2025? Modelling in a country with a smokefree goal,Research Article,['sex'],"Background New Zealand has a goal of becoming a smokefree nation by the year 2025. Smoking prevalence in 2012 was 17%, but is over 40% for Māori (indigenous New Zealanders). We forecast the prevalence in 2025 under a business-as-usual (BAU) scenario, and determined what the initiation and cessation rates would have to be to achieve a <5% prevalence. Methods A dynamic model was developed using Census and Health Survey data from 1981 to 2012 to calculate changes in initiation by age 20 years, and net annual cessation rates, by sex, age, ethnic group and time period. Similar parameters were also calculated from a panel study for sensitivity analyses. ‘Forecasts’ used these parameters, and other scenarios, applied to the 2011–2012 prevalence. Findings Since 2002–2003, prevalence at age 20 years has decreased annually by 3.1% (95% uncertainty interval 0.8% to 5.7%) and 1.1% (−1.2% to 3.2%) for non-Māori males and females, and by 4.7% (2.2% to 7.1%) and 0.0% (−2.2% to 1.8%) for Māori, respectively. Annual net cessation rates from the dynamic model ranged from −3.0% to 6.1% across demographic groups, and from 3.0% to 6.0% in the panel study. Under BAU, smoking prevalence is forecast to be 11% and 9% for non-Māori males and females by 2025, and 30% and 37% for Māori, respectively. Achieving <5% by 2025 requires net cessation rates to increase to 10% for non-Māori and 20% for Māori, accompanied by halving or quartering of initiation rates. Conclusions The smokefree goal of <5% prevalence is only feasible with large increases in cessation rates. ","Previous modelling has forecast future prevalence for various countries under business as usual. This paper models what it would take in the way of initiation rates and cessation rates to achieve a 5% prevalence by 2025—the New Zealand Government's tobacco-free goal. Increased cessation rates are essential to achieving a <5% prevalence. For European/Other people, annual cessation rates need to be about 10%—double to quadruple what they currently are. For Māori, cessation rates need to increase hugely to 20% per annum of smokers stopping. Increasing the rate of fall in initiation helps, but is not as critical as increasing cessation. Intensified business as usual tobacco control seems unlikely to be sufficient to achieve the 2025 goal. Hence supplementary interventions are needed, especially to increase cessation rates in targeted population groups with high smoking rates. ",http://dx.doi.org/10.1136/tobaccocontrol-2013-051196,Takayoshi Ikeda; Linda Cobiac; Nick Wilson; Kristie Carter; Tony Blakely; ,"University of Otago; University of Otago; Centre for Burden of Disease and Cost-Effectiveness, School of Population Health, The University of Queensland, Herston, Queensland, Australia; University of Otago; University of Otago; University of Otago; "
Tobacco Control,2015,Evaluation of a community-based smoking cessation programme for people with severe mental illness,Research Article,['gender'],"Objective To evaluate the effectiveness of a smoking cessation programme for smokers living with mental illness, provided within community mental health services, and determine factors which impact on the rates of cessation. Methods One hundred and twenty-nine smoking cessation group programmes were provided within community mental health services in South Australia between 2006 and 2011. Participants’ smoking cessation rates were analysed in terms of demographic factors, smoking history, diagnosis and group participation. Participants completed written questionnaires at registration, at the end of each programme and at 12 months. They were also asked to complete the Fagerström rating scale and use the Micro+Smokerlyzer to measure breath carbon monoxide levels. Results Eight hundred and forty-four smokers living with mental illness registered for the programme. Many continued to be involved in addressing their tobacco use over more than one programme. At the end of their last programme, 581 completed an evaluation and 129 (22.2%) were not smoking. If it is assumed that all who did not complete an evaluation had continued smoking, then the cessation rate was 15.3%. Cessation rates were higher for those who attended more sessions, had decided at registration that they wanted to quit or had a lower level of nicotine dependence. Cessation rates were not significantly affected by gender, diagnosis or the number of years of smoking. Conclusions People with mental illness are concerned about their tobacco use and will seek help if this is available. Smoking cessation programmes which are tailored for this group of smokers can be effective and should be provided by mental health and tobacco control services. ",This paper adds to the small body of literature on behavioural programs to help people living with severe mental illness quit smoking. It provides evidence that smokers with mental illness are concerned about their tobacco use and will seek help if it is available. It has shown that smokers with severe mental illness can quit tobacco if they receive appropriate support. This study provides a framework for mental health and tobacco control workers who are interested in helping smokers with mental illness to address their tobacco use. ,http://dx.doi.org/10.1136/tobaccocontrol-2013-051179,Maxie Ashton; Ashlee Rigby; Cherrie Galletly; ,"Adelaide Mental Health Directorate Adelaide; Mental Health Services (SA), The Adelaide Clinic; Mental Health Services (SA), The Adelaide Clinic; School of Medicine, The University of Adelaide; Northern Adelaide Local Health Network; "
Tobacco Control,2015,Disadvantaged youth and smoking in mature tobacco control contexts: a systematic review and synthesis of qualitative research,Review Article,"['gay', 'glbt']","Objective To review qualitative research and synthesise findings about socioeconomically disadvantaged and socially marginalised adolescents and young adults in mature tobacco control contexts. Data sources Searches of PubMed and MEDLINE, additional purposive searches in Google Scholar, PsycINFO, grey literature, specialist journals and reference lists for English language articles published after 2000. Search terms were qualitative, youth or adolescent or young adult, smoking/tobacco and vulnerable populations or disadvantage or socioeconomic inequality. The most recent update of the search was undertaken in January 2014. Study selection Twenty articles, reporting on 17 studies, from 902 initial records were included. Inclusion criteria were: qualitative study undertaken in a country in the final stage of the tobacco epidemic and with comprehensive tobacco control measures in place, participants were youth who were socioeconomically disadvantaged or members of an identified subgroup with higher smoking prevalence and/or resided in a geographical area of low socioeconomic status. The target age range was 10–24. Data extraction Data were independently extracted by one author, summarised and reviewed, compared and re-reviewed at multiple time points. Data synthesis The majority of studies were from the UK, with the remainder from the USA, Australia and New Zealand. The review used a thematic analysis approach, and started with an open question: ‘what does qualitative research tell us about disadvantaged young people and smoking?’ The synthesis provides insights into the social context of smoking for marginalised and disadvantaged young people, group affiliation and identity, the role of smoking in social capital and sources of cigarettes. Conclusions Surprisingly few qualitative studies focused exclusively on smoking and disadvantaged young people were found. Future qualitative studies on the intersection between specific psychosocial characteristics associated with disadvantage and increased smoking risk would be of use to inform approaches to reduce socioeconomic differentials in smoking prevalence. ","Electronic database search strategies January 2014 MEDLINE via OvidSP 1. Youth.mp as keyword or Adolescent/ 2. Qualitative Research/ or qualitative.mp as keyword 3. Smoking/ 4. 1 and 2 and 3 PubMed 1. Youth and 2. Qualitative and 3. Smoking Terms such as ‘deprived/deprivation’, ‘disadvantaged’, ‘socio-economic inequality’ and ‘socially marginalised’ were excluded from the initial MEDLINE and PubMed searches to avoid screening out potentially eligible articles. PsycINFO via OvidSP 1. Youth.mp as keyword or Predelinquent Youth or Adolescent Development or At Risk Populations or Juvenile Delinquency or Drug Abuse or Education or Refugees or Employment Status 2. Qualitative Research or qualitative.mp as keyword 3. Smoking.mp as keyword or Tobacco Smoking or Smoking Cessation 4. 1 and 2 and 3 Google Scholar 1. Qualitative+research+youth+smoking 2. Disadvantaged+youth+smoking+qualitative 3. Smoking+deprived+youth+qualitative 4. Gay+youth+smoking, GLBT+smoking 5. Indigenous+youth+smoking+qualitative 6. low-income+smoking+youth+qualitative 7. poverty+youth+smoking+qualitative 8. social exclusion+smoking+qualitative 9. social exclusion+smoking+youth Hand searches of specialist journals Tobacco Control, Nicotine & Tobacco Research, Qualitative Health Research and Sociology of Health & Illness Keywords: Qualitative Youth Young adults Adolescents Disadvantage(d) Deprived/Deprivation What is the connection between stigmatised identity and smoking in socially marginalised young people, particularly in relation to uptake? What purpose does smoking serve for young people at risk of self-harm? Which contextual factors are the most important in determining smoking trajectories of disadvantaged young people? What are the factors that promote not smoking among young people with cumulative and severe disadvantage? Disadvantaged and socially marginalised young people in countries with advanced tobacco control have significantly higher smoking prevalence than other young people. Qualitative research is important for explaining the processes by which risk factors and contextual differences create these disparities, and to provide insights for effective policies and interventions. This is the first systematic review of qualitative research focused on disadvantaged and marginalised young people and smoking. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-051756,Marita Hefler; Simon Chapman; ,"A27-School of Public Health, University of Sydney; A27-School of Public Health, University of Sydney; "
Tobacco Control,2015,Greater reductions in nicotine exposure while smoking very low nicotine content cigarettes predict smoking cessation,Research Article,['gender'],"Objective Reducing the nicotine content of cigarettes is a potential regulatory strategy that may enable cessation. The present study investigated the effect of nicotine exposure while smoking very low nicotine content (VLNC) cigarettes on cessation outcomes. The roles of possible sources of nicotine were also explored, including the VLNC cigarette and co-use of cigarettes with normal nicotine content. Methods A secondary data analysis of two analogous randomised trials of treatment seeking, adult daily smokers (n=112) who were instructed to smoke VLNC cigarettes for 6 weeks and then make a quit attempt. Controlling for baseline demographic and smoking features, the association between reductions in nicotine exposure during the 6-week trial, assessed by urinary total cotinine and biomarker-confirmed smoking abstinence 1 month later, was tested. Subsequent analyses controlled for the effects of the frequency of VLNC and normal nicotine content cigarette use and the nicotine yield of the VLNC cigarette (0.05 vs 0.09 mg). Results Greater reductions in nicotine exposure while smoking VLNC cigarettes predicted abstinence independent of individual differences in baseline smoking, cotinine, dependence, gender and study. Nicotine reduction was largest among individuals who were assigned to smoke a VLNC cigarette with lower nicotine yield and who smoked fewer normal nicotine content and VLNC cigarettes. Conclusions In the context of nicotine regulations and corresponding research, factors that undermine nicotine reduction must be addressed, including the availability and use of cigarettes with normal nicotine content and not sufficiently reducing the nicotine yield of cigarettes. Maximising nicotine reduction may facilitate smoking cessation. Trial registration numbers NCT 101050569 and NCT 00777569. ","This is the first study to demonstrate that, when smoking very low nicotine content (VLNC) cigarettes, lower levels of nicotine exposure prior to a quit attempt enables cessation. Smoking high nicotine content cigarettes alongside VLNC cigarettes appeared to undermine nicotine reduction efforts and, in turn, reduce quit rates. Thus, the widespread availability of high nicotine content cigarettes may lead researchers to underestimate the public health impact of a nicotine reduction strategy due to non-compliance. Relatively small differences in the nicotine yield of VLNC cigarettes (0.05 vs 0.09 mg yield) appeared to impact cessation rates. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-051797,Sarah S Dermody; Eric C Donny; Louise A Hertsgaard; Dorothy K Hatsukami; ,University of Pittsburgh; University of Pittsburgh; University of Minnesota; University of Minnesota; University of Minnesota; 
Tobacco Control,2015,The effect of MPOWER on smoking prevalence,Research Article,['sex'],"Objective To examine the effect of varying levels of comprehensive tobacco control on smoking in a global context. Methods Using data from WHO's Reports on the Global Tobacco Epidemic, scatter plots were produced to visualise the relationship between comprehensive tobacco control policy (2008 MPOWER composite score) and change in current tobacco smoking between 2006 and 2009. Fixed-effect regression models assessed the effect of changes in each MPOWER measure on changes in current tobacco smoking between 2006 and 2009. All analyses were stratified by sex. Results Overall, countries with higher MPOWER composite scores experienced greater decreases in current tobacco smoking between the years 2006 and 2009. Regression analyses revealed that the M and R measures showed a negative association with current tobacco smoking over time. Current tobacco smoking decreased (1.07 percentage points for males, 1.04 percentage points for females) with each increase in score value for monitoring tobacco use (M). Also, current tobacco smoking decreased (0.95 percentage points for males, 0.41 percentage points for females) with each increase in score value for raising taxes on tobacco (R). The effect of the MPOWER measures on current tobacco smoking varied by country income status (P measure in the female analysis; p<0.05) and/or by WHO region (M, P and O measures in the male analysis; p<0.05). Conclusions Higher levels of MPOWER combined, as well as continued and frequent monitoring of tobacco use (M) and increasing taxation (R), were associated with a decrease in current tobacco smoking over time. ","Single country analyses of the effects of comprehensive tobacco control indicate varying levels of effectiveness. To date, no empirical studies have been published that compare varying levels of MPOWER effects on smoking behaviour across countries. This analysis demonstrates that while the MPOWER package generally works to decrease smoking prevalence, there is a need to explore additional factors that contribute to either promoting or preventing successful reduction. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-051834,Jolene Dubray; Robert Schwartz; Michael Chaiton; Shawn O'Connor; Joanna E Cohen; ,"Dalla Lana School of Public Health, University of Toronto; Dalla Lana School of Public Health, University of Toronto; Centre for Addiction and Mental Health; Dalla Lana School of Public Health, University of Toronto; Dalla Lana School of Public Health, University of Toronto; Dalla Lana School of Public Health, University of Toronto; Institute for Global Tobacco Control, Johns Hopkins Bloomberg School of Public Health; "
Tobacco Control,2015,Sex-stratified and age-adjusted social gradients in tobacco in Argentina and Uruguay: evidence from the Global Adult Tobacco Survey (GATS),Research Article,['sex'],"Objective To examine social gradients in tobacco use in Argentina and Uruguay, using newly available directly comparable data sets. Methods Secondary analysis of Global Adult Tobacco Survey data from Argentina (N=6645) and Uruguay (N=5581). Social gradients in current tobacco use, exposure to secondhand smoke, and cessation attempt were examined with sex-stratified and age-adjusted logistic regression. Results Among men, there is evidence of higher odds of being a current smoker among respondents with lower levels of education, but the association is only statistically significant for respondents with less than primary education in Uruguay (OR=2.15, 95% CI 1.22 to 3.77). Similarly, women with lower levels of education have higher odds of being a current smoker in Uruguay. The association between education and exposure to secondhand smoke is broadly similar for both sexes in both countries, with generally higher odds among groups with low education, though the relationship is only statistically significant among men in Uruguay (OR=1.77, 95% CI 1.08 to 2.92). In both countries, respondents with lower levels of education in general have higher odds of having attempted to quit smoking in the past year, although these associations did not attain statistical significance. Conclusions Social gradients in tobacco use, exposure to secondhand smoke and cessation attempts are broadly similar in both countries. Efforts to evaluate the long-term effects of tobacco control efforts in these countries should monitor how policies affect national averages, and the social gradients that are embedded in aggregate data. ","This research study is the first of this type to compare social gradients in two Latin American countries using new data from Global Adult Tobacco Survey (GATS). These countries have different records on tobacco control policy but, at present, relatively similar patterns of socioeconomic inequality in tobacco outcomes. Efforts to evaluate the long-term effects of tobacco control efforts in these countries should monitor how policies affect not only national averages, but also the social gradients that are embedded in aggregate data. ",http://dx.doi.org/10.1136/tobaccocontrol-2013-051525,F G De Maio; J Konfino; D Ondarsuhu; L Goldberg; B Linetzky; D Ferrante; ,"DePaul University; Ministerio de Salud de la Nación; Instituto Nacional de Estadística y Censos, Ministerio de Economía y Finanzas Públicas; Ministerio de Salud de la Nación; Ministerio de Salud de la Nación; Ministerio de Salud de la Nación; "
Tobacco Control,2015,"Responses to antismoking radio and television advertisements among adult smokers and non-smokers across Africa: message-testing results from Senegal, Nigeria and Kenya",Research Article,['gender'],"Background This study examined whether adaptation of existing antitobacco television and radio advertisements (ads) from high-income countries is a viable tobacco control strategy for Africa. Methods 1078 male and female adult smokers and non-smokers, aged 18–40 years, from major and smaller urban locations in Kenya, Nigeria and Senegal, were recruited into groups using locally appropriate convenience sampling methods and stratified by smoking status, gender, age and socioeconomic status. Eligibility criteria included age, smoking status and literacy. Each participant rated five radio and five TV antismoking ads on five-point scales, which were later aggregated into measures of perceived effectiveness, potential behaviour change and antitobacco industry sentiment/support for government actions. Results For radio ads across all three countries, two health harms-focused ads—Coughing Child followed by Suffering—had the highest odds of a positive rating on the Perceived Effectiveness measure among smokers and non-smokers. For television ads, the strong graphic ad Baby Alive tended to be rated most positively across the majority of measures by all subgroups. Conclusions This first systematic study of tobacco control advertisements in Africa is consistent with findings from other countries, suggesting that graphic health-harms ads developed and used in other countries could also be effective in African countries. This implies that adaptation would be a successful approach in Africa, where scarce resources for tobacco control communications can be focused on advertising dissemination, saving programmes from the cost, time and technical expertise required for development of new materials. ","In a systematic quantitative study of 10 antitobacco advertisements in three diverse African countries, it was found that health-harm messages developed by and used in other countries would likely also be effective in African contexts. The message features of tobacco control television and radio advertisements with high potential for effectiveness were broadly similar. Being able to adapt existing effective tobacco control advertisements allows programme managers working in African settings to channel limited resources from advertising production into campaign implementation. ",http://dx.doi.org/10.1136/tobaccocontrol-2014-051682,Rebecca Perl; Nandita Murukutla; Jessica Occleston; Megan Bayly; Mego Lien; Melanie Wakefield; Sandra Mullin; ,World Lung Foundation; World Lung Foundation; Baker IDI Heart and Diabetes Institute; Cancer Council of Victoria; World Lung Foundation; Cancer Council of Victoria; World Lung Foundation; 
