Conference,Year,Title,PaperType,Matched,Abstract,Highlights,Link,AuthorNames,AuthorAffiliation,Coder1,Coder2,Coder3,Vote,Exceptions
Tobacco Control,2015,Disadvantaged youth and smoking in mature tobacco control contexts: a systematic review and synthesis of qualitative research,Review Article,"['gay', 'glbt']","Objective To review qualitative research and synthesise findings about socioeconomically disadvantaged and socially marginalised adolescents and young adults in mature tobacco control contexts. Data sources Searches of PubMed and MEDLINE, additional purposive searches in Google Scholar, PsycINFO, grey literature, specialist journals and reference lists for English language articles published after 2000. Search terms were qualitative, youth or adolescent or young adult, smoking/tobacco and vulnerable populations or disadvantage or socioeconomic inequality. The most recent update of the search was undertaken in January 2014. Study selection Twenty articles, reporting on 17 studies, from 902 initial records were included. Inclusion criteria were: qualitative study undertaken in a country in the final stage of the tobacco epidemic and with comprehensive tobacco control measures in place, participants were youth who were socioeconomically disadvantaged or members of an identified subgroup with higher smoking prevalence and/or resided in a geographical area of low socioeconomic status. The target age range was 10–24. Data extraction Data were independently extracted by one author, summarised and reviewed, compared and re-reviewed at multiple time points. Data synthesis The majority of studies were from the UK, with the remainder from the USA, Australia and New Zealand. The review used a thematic analysis approach, and started with an open question: ‘what does qualitative research tell us about disadvantaged young people and smoking?’ The synthesis provides insights into the social context of smoking for marginalised and disadvantaged young people, group affiliation and identity, the role of smoking in social capital and sources of cigarettes. Conclusions Surprisingly few qualitative studies focused exclusively on smoking and disadvantaged young people were found. Future qualitative studies on the intersection between specific psychosocial characteristics associated with disadvantage and increased smoking risk would be of use to inform approaches to reduce socioeconomic differentials in smoking prevalence.","Electronic database search strategies January 2014 MEDLINE via OvidSP 1. Youth.mp as keyword or Adolescent/ 2. Qualitative Research/ or qualitative.mp as keyword 3. Smoking/ 4. 1 and 2 and 3 PubMed 1. Youth and 2. Qualitative and 3. Smoking Terms such as ‘deprived/deprivation’, ‘disadvantaged’, ‘socio-economic inequality’ and ‘socially marginalised’ were excluded from the initial MEDLINE and PubMed searches to avoid screening out potentially eligible articles. PsycINFO via OvidSP 1. Youth.mp as keyword or Predelinquent Youth or Adolescent Development or At Risk Populations or Juvenile Delinquency or Drug Abuse or Education or Refugees or Employment Status 2. Qualitative Research or qualitative.mp as keyword 3. Smoking.mp as keyword or Tobacco Smoking or Smoking Cessation 4. 1 and 2 and 3 Google Scholar 1. Qualitative+research+youth+smoking 2. Disadvantaged+youth+smoking+qualitative 3. Smoking+deprived+youth+qualitative 4. Gay+youth+smoking, GLBT+smoking 5. Indigenous+youth+smoking+qualitative 6. low-income+smoking+youth+qualitative 7. poverty+youth+smoking+qualitative 8. social exclusion+smoking+qualitative 9. social exclusion+smoking+youth Hand searches of specialist journals Tobacco Control, Nicotine & Tobacco Research, Qualitative Health Research and Sociology of Health & Illness Keywords: Qualitative Youth Young adults Adolescents Disadvantage(d) Deprived/Deprivation What is the connection between stigmatised identity and smoking in socially marginalised young people, particularly in relation to uptake? What purpose does smoking serve for young people at risk of self-harm? Which contextual factors are the most important in determining smoking trajectories of disadvantaged young people? What are the factors that promote not smoking among young people with cumulative and severe disadvantage? Disadvantaged and socially marginalised young people in countries with advanced tobacco control have significantly higher smoking prevalence than other young people. Qualitative research is important for explaining the processes by which risk factors and contextual differences create these disparities, and to provide insights for effective policies and interventions. This is the first systematic review of qualitative research focused on disadvantaged and marginalised young people and smoking.",http://dx.doi.org/10.1136/tobaccocontrol-2014-051756,Marita Hefler; Simon Chapman;,"A27-School of Public Health, University of Sydney; A27-School of Public Health, University of Sydney;",,,1,1,
Tobacco Control,2016,Peer crowd affiliation as a segmentation tool for young adult tobacco use,Research Article,"['sex', 'sexual orientation']","Background In California, young adult tobacco prevention is of prime importance; 63% of smokers start by the age of 18 years, and 97% start by the age of 26 years. We examined social affiliation with ‘peer crowd’ (eg, Hipsters) as an innovative way to identify high-risk tobacco users. Methods Cross-sectional surveys were conducted in 2014 (N=3368) among young adult bar patrons in 3 California cities. We examined use rates of five products (cigarettes, e-cigarettes, hookah, cigars and smokeless tobacco) by five race/ethnicity categories. Peer crowd affiliation was scored based on respondents' selecting pictures of young adults representing those most and least likely to be in their friend group. Respondents were classified into categories based on the highest score; the peer crowd score was also examined as a continuous predictor. Logistic regression models with each tobacco product as the outcome tested the unique contribution of peer crowd affiliation, controlling for race/ethnicity, age, sex, sexual orientation and city. Results Respondents affiliating with Hip Hop and Hipster peer crowds reported significantly higher rates of tobacco use. As a categorical predictor, peer crowd was related to tobacco use, independent of associations with race/ethnicity. As a continuous predictor, Hip Hop peer crowd affiliation was also associated with tobacco use, and Young Professional affiliation was negatively associated, independent of demographic factors. Conclusions Tobacco product use is not the same across racial/ethnic groups or peer crowds, and peer crowd predicts tobacco use independent of race/ethnicity. Antitobacco interventions targeting peer crowds may be an effective way to reach young adult tobacco users. Trial registration number NCT01686178, Pre-results.","Young adults use tobacco at high rates, but few studies examine the role of identity and social cultures (eg, peer crowd affiliation) in addition to sociodemographic factors associated with tobacco use despite their common use in marketing campaigns to promote tobacco use. This study found that affiliation with different peer crowds was associated with smoking, independent of race/ethnicity, age, sexual orientation and education. This study also examined multiple non-cigarette tobacco products (e-cigarettes, cigars, hookah, and smokeless tobacco) and found that peer crowd was independently associated with use of almost all alternative products. Peer crowd affiliation adds additional information to demographics in order to better characterize high risk subgroups of young adults and facilitate development of targeted anti-tobacco campaigns that reflect group membership and values.",http://dx.doi.org/10.1136/tobaccocontrol-2016-053086,Nadra E Lisha; Jeffrey W Jordan; Pamela M Ling;,"Center for Tobacco Control Research and Education, University of California San Francisco; Rescue; Center for Tobacco Control Research and Education, University of California San Francisco;",,,1,1,
Tobacco Control,2017,Misperceptions of harm among Natural American Spirit smokers: results from wave 1 of the Population Assessment of Tobacco and Health (PATH) study (2013–2014),Research Article,"['bisexual', 'gay', 'heterosexual', 'lesbian', 'questioning', 'sexual orientation']","Introduction This study estimated differences in cigarette harm perceptions among smokers of the Natural American Spirit (NAS) brand—marketed as ‘natural’, ‘organic’ and ‘additive-free’—compared to other smokers, and examined correlates of NAS use. Methods Data were drawn from wave 1 of the Population Assessment of Tobacco and Health (PATH) study, a nationally representative study of US adults (2013–2014). Weighted analyses using a subset of current adult smokers (n=10 565) estimated the prevalence of NAS use (vs all other brands) and examined associations between NAS use and sociodemographics, tobacco/substance use, tobacco harm perceptions, quit intentions, quit attempts and mental/behavioural health. Results Overall, 2.3% of adult smokers (920 000 people in the USA) reported NAS as their usual brand. Nearly 64% of NAS smokers inaccurately believed that their brand is less harmful than other brands compared to 8.3% of smokers of other brands, after controlling for potential confounders (aOR 22.82). Younger age (18–34 vs 35+; aOR 1.54), frequent thinking about tobacco harms (aOR 1.84), past 30-day alcohol use (aOR 1.57), past 30-day marijuana use (aOR 1.87) and sexual orientation (lesbian, gay, bisexual, ‘other’ or ‘questioning’ vs heterosexual; aOR 2.07) were also associated with increased odds of smoking NAS. Conclusions The majority of NAS smokers inaccurately believes that their cigarettes are less harmful than other brands. Given the brand's rapid growth and its more common use in vulnerable groups (eg, young adults, lesbian, gay, bisexual, ‘other’ or ‘questioning’ adults), corrective messaging and enforcement action are necessary to correct harm misperceptions of NAS cigarettes.","Prior research has revealed that Natural American Spirit (NAS) cigarette pack descriptors and advertising convey reduced harm messages to study participants. Using recent (2013–2014) nationally representative data from the USA, this study shows that, compared to smokers of other brands, NAS smokers are over 22 times more likely to inaccurately believe that their brand is less harmful than other brands. NAS smokers are more likely to be young adults, non-Hispanic White, college educated, past 30-day marijuana and alcohol users, and identify as lesbian, gay, bisexual, ‘other’ or ‘questioning’ than smokers of other brands.",http://dx.doi.org/10.1136/tobaccocontrol-2016-053265,Jennifer L Pearson; Amanda Johnson; Andrea Villanti; Allison M Glasser; Lauren Collins; Amy Cohn; Shyanika W Rose; Raymond Niaura; Cassandra A Stanton;,"Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Johns Hopkins Bloomberg School of Public Health; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Johns Hopkins Bloomberg School of Public Health; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Georgetown University Medical Center/Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Johns Hopkins Bloomberg School of Public Health; Schroeder Institute for Tobacco Research and Policy Studies at Truth Initiative; Georgetown University Medical Center/Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center; Westat;",,,1,1,
Tobacco Control,2020,"Deaths from smoking and from HIV/AIDS among gay and bisexual men in California, 2005–2050",Research Article,"['bisexual', 'gay', 'heterosexual', 'lesbian', 'lgbt', 'men who have sex with men', 'sex', 'transgender']","Introduction Deaths from HIV/AIDS have long been of concern to the gay community, but less attention has focused on smoking-attributable deaths despite the relatively high smoking rates among gay and bisexual men. This study compared deaths from HIV/AIDS with smoking-attributable deaths among California gay and bisexual men from 2005 to 2050. Methods Smoking-attributable fractions (SAFs) were estimated using smoking prevalence for gay and bisexual men from the 2011–2014 California Health Interview Surveys and published relative risks of death. Smoking-attributable deaths were calculated by multiplying the SAFs by deaths among gay and bisexual men. Deaths from HIV/AIDS among men who have sex with men was obtained from the California Department of Public Health. Future deaths from smoking and HIV/AIDS were projected using regression equations based on time trends. Results From 2005 to 2014, smoking caused over 6800 deaths among gay and bisexual men, while nearly 9500 died from HIV/AIDS. Mortality from both causes has been falling, but deaths from HIV/AIDS have been falling more rapidly. Projections suggest that in the mid-2040s, more gay/bisexual men will die from smoking than from HIV/AIDS. Conclusion Smoking will surpass HIV/AIDS as a cause of death among gay and bisexual men in California within a few decades. The lesbian, gay, bisexual and transgender (LGBT) community was highly effective in drawing attention and resources to the fight against HIV/AIDS, saving untold lives by hastening effective treatments. Lessons learnt in the fight against AIDS should be used to help fight the tobacco epidemic.","One in five deaths in the USA is attributable to smoking. Gay and bisexual men smoke at higher rates than heterosexual men, suggesting that many of them may be victims of smoking-attributable mortality. The mortality toll of cigarette smoking on the gay and bisexual community has not been studied. The lesbian, gay, bisexual and transgender (LGBT) community, which mobilised effectively against the AIDS epidemic, has largely ignored the tobacco epidemic. We found that smoking-attributable deaths will exceed deaths from AIDS in the California gay/bisexual community within a few decades. The LGBT community could build on its successful organising against AIDS to help diminish the toll of tobacco.",http://dx.doi.org/10.1136/tobaccocontrol-2018-054850,Wendy B Max; Brad B Stark; Hai-Yen Sung; Naphtali B Offen;,"Institute for Health and Aging; University of California, San Francisco; Institute for Health and Aging; University of California, San Francisco; Institute for Health and Aging; University of California, San Francisco; San Francisco, California, USA;",,,1,1,
Tobacco Control,2020,Correlates of tobacco product reuptake and relapse among youth and adults in the USA: findings from the PATH Study Waves 1–3 (2013–2016),Research Article,"['bisexual', 'sexual orientation']","Objective This study examines sociodemographic and tobacco use correlates of reuptake and relapse to tobacco use across a variety of tobacco products (cigarettes, electronic nicotine delivery systems, cigars, hookah and smokeless tobacco) among the US population. Design Data were drawn from the first three waves (2013–2016) of the Population Assessment of Tobacco and Health Study, a nationally representative, longitudinal cohort study of US youth (ages 12–17) and adults (ages 18+). Reuptake (past 30-day use among previous tobacco users) and relapse (current use among former established users; adults only) were examined among previous users of at least one type of tobacco product at Wave 1 (W1) or Wave 2 (W2) (n=19 120 adults, n=3039 youth). Generalised estimating equations were used to evaluate the association between demographic and tobacco use characteristics at baseline, with reuptake/relapse at follow-up, over two 1-year periods (W1–W2 and W2–Wave 3). Results Any tobacco product reuptake occurred in 7.8% of adult previous users and 30.3% of youth previous users. Correlates of any tobacco reuptake included being male, non-Hispanic black and bisexual in adults, but race and sexual orientation were not consistent findings in youth. Among recent former users, relapse rates were greater (32.9%). Shorter time since last use and greater levels of tobacco dependence showed the strongest association with any tobacco relapse. Discussion Continued clinical and public health efforts to provide adults with tools to cope with tobacco dependence symptoms, especially within the first year or two after quitting, could help prevent relapse.","Understanding the sociodemographic and tobacco use factors associated with reuptake and relapse to different tobacco products fills a large gap in the primarily cigarette-focused literature. This study evaluates the sociodemographic and tobacco use correlates of tobacco product reuptake among youth (ages 12–17) and adults (ages 18+) and tobacco product relapse among adults across any tobacco and specific classes of tobacco products available in the USA. Over a 1-year period, reuptake was less than 8% for all products except ENDS (16%) among adults, and higher for youth (between 15% and 25% across products). Correlates of any tobacco reuptake included being male, non-Hispanic black and bisexual in adults, but race and sexual orientation were not consistent findings in youth. These correlates among adults are similar to those seen in tobacco product initiation. Among adults, relapse rates were similar to reuptake. Relapse rates were higher (15%–28% across products) when restricting our analyses to recent (within the past 12 months) former established users. Shorter time since last use and greater levels of tobacco dependence showed the strongest association with any tobacco relapse. Continued clinical and public health efforts to provide adults with tools to cope with tobacco dependence, especially within the first year or two after quitting, could help prevent relapse to both cigarette and non-cigarette tobacco products.",http://dx.doi.org/10.1136/tobaccocontrol-2020-055660,Kathryn C Edwards; Karin A Kasza; Zhiqun Tang; Cassandra A Stanton; Eva Sharma; Michael J Halenar; Kristie A Taylor; Elisabeth A Donaldson; Lynn C Hull; Maansi Bansal-Travers; Jean Limpert; Izabella Zandberg; Lisa D Gardner; Nicolette Borek; Heather L Kimmel; Wilson M Compton; Andrew Hyland;,"Behavioral Health and Health Policy Practice; Westat; Department of Health Behavior; Roswell Park Comprehensive Cancer Center; Behavioral Health and Health Policy Practice; Westat; Behavioral Health and Health Policy Practice; Westat; Department of Oncology; Georgetown University Medical Center; Behavioral Health and Health Policy Practice; Westat; Behavioral Health and Health Policy Practice; Westat; Behavioral Health and Health Policy Practice; Westat; Office of Science, Center for Tobacco Products; Food and Drug Administration; Office of Science, Center for Tobacco Products; Food and Drug Administration; Department of Health Behavior; Roswell Park Comprehensive Cancer Center; Office of Science, Center for Tobacco Products; Food and Drug Administration; Office of Science, Center for Tobacco Products; Food and Drug Administration; Office of Science, Center for Tobacco Products; Food and Drug Administration; Office of Science, Center for Tobacco Products; Food and Drug Administration; National Institute on Drug Abuse; National Institutes of Health; National Institute on Drug Abuse; National Institutes of Health; Department of Health Behavior; Roswell Park Comprehensive Cancer Center;",,,1,1,
Nicotine & Tobacco Research,2015,Smoking Among Sexual Minorities: Are There Racial Differences?,article,"['gender', 'heterosexual', 'sexual minorities', 'sexual minority']","Introduction: Smoking prevalence is higher among sexual minorities compared to their heterosexual peers. However, very little is known about potential racial differences in smoking among sexual minority populations. We examined differences by race in smoking status among a robust sample of sexual minorities. Methods: We used data from the 2010 Social Justice Sexuality project, a large national convenience sample of sexual minority adults that oversampled individuals from racial minority groups. Log-Poisson multivariable regression models were employed to determine the risk of current smoking among sexual minority individuals by race after controlling for socio-demographic characteristics. Results: Among smokers, 22.35% identified as White, 26.98% identified as Black, 19.38% identified as Latino/Hispanic, 5.58% identified as Asian American, and 25.67% were other/multiracial. In fully adjusted gender stratified models, Black men (adjusted risk ratio [aRR] = 0.61, 95% confidence interval [CI] = 0.50, 0.75) and Asian American men (aRR = 0.61, 95% CI = 0.50, 0.75) were at lower risk of smoking compared to White men. Black women were the only to remain statistically significant for decreased risk of smoking in fully adjusted gender stratified models (aRR = 0.78, 95 % CI = 0.65, 0.95). Conclusions: Among sexual minorities, Black and Asian American individuals consistently were at decreased risk of current smoking compared to their White peers. Future research should seek to understand the mechanisms that contribute to decreased smoking status among racial sexual minorities.",,http://dx.doi.org/10.1093/ntr/ntv001,"Ortiz, Kasim S.; Duncan, Dustin T.; Blosnich, John R.; Salloum, Ramzi G.; Battle, Juan","Department of Sociology, Vanderbilt University, Nashville, TN; Department of Population Health, New York University School of Medicine, New York, NY; VA Center for Health Equity Research and Promotion, Pittsburgh, PA; Department of Health Services Policy and Management, University of South Carolina, Columbia, SC; Departments of Sociology, Public Health and Urban Education, City University of New York, New York, NY",,,1,1,
Nicotine & Tobacco Research,2015,"Social Branding to Decrease Lesbian, Gay, Bisexual, and Transgender Young Adult Smoking",article,"['bisexual', 'gay', 'gender', 'heterosexual', 'lesbian', 'lgbt', 'straight', 'transgender']","Introduction: Lesbian, gay, bisexual, and transgender (LGBT) individuals are more likely to smoke than the general population. This study evaluated a Social Branding intervention, CRUSH, which included an aspirational brand, social events, and targeted media to discourage smoking among LGBT young adults in Las Vegas, NV. Methods: Cross-sectional surveys (N = 2,395) were collected in Las Vegas LGBT bars at 2 time points 1 year apart. Multivariate logistic regressions examined associations between campaign exposure, message understanding, and current (past 30 days) smoking, controlling for demographics. Results: LGBT individuals were significantly more likely to report current (past 30 day) smoking than heterosexual/straight, gender-conforming participants. Overall, 53% of respondents reported exposure to CRUSH; of those exposed, 60% liked the campaign, 60.3% reported they would attend a CRUSH event on a night when they usually went somewhere else, and 86.3% correctly identified that the campaign was about “partying fresh and smokefree.” Current smoking was reported by 47% of respondents at Time 1 and 39.6% at Time 2. There were significant interactions between time and campaign exposure and campaign exposure and understanding the message. Among those who understood the CRUSH smokefree message, the highest level of campaign exposure was significantly associated with 37%–48% lower odds for current smoking. Conclusions: While longitudinal studies would better assess the impact of this intervention, CRUSH shows promise to reduce tobacco use among LGBT bar patrons.",,http://dx.doi.org/10.1093/ntr/ntu265,"Fallin, Amanda; Neilands, Torsten B.; Jordan, Jeffrey W.; Ling, Pamela M.","Center for Tobacco Control Research and Education, University of California, San Francisco, San Francisco, CA; Center for AIDS Prevention Studies, Department of Medicine, University of California, San Francisco, San Francisco, CA; Rescue Social Change Group, San Diego, CA; Center for Tobacco Control Research and Education, University of California, San Francisco, San Francisco, CA; Division of General Internal Medicine, Department of Medicine, University of California, San Francisco, San Francisco, CA",,,1,1,
Nicotine & Tobacco Research,2016,Is There a Relationship Between the Concentration of Same-Sex Couples and Tobacco Retailer Density?,article,"['bisexual', 'gay', 'lesbian', 'same-sex', 'sex']","Background: Tobacco use is markedly higher among lesbian, gay, and bisexual populations than heterosexuals. Higher density of tobacco retailers is found in neighborhoods with lower income and more racial/ethnic minorities. Same-sex couples tend to live in similar neighborhoods, but the association of this demographic with tobacco retailer density has not been examined. Methods:  For a national sample of 97 US counties, we calculated the number of tobacco retailers per 1000 persons and rates of same-sex couples per 1000 households in each census tract ( n = 17 941). Using spatial regression, we examined the association of these variables in sex-stratified models, including neighborhood demographics and other environmental characteristics to examine confounding.  Results: Results from spatial regression show that higher rates of both female and male same-sex couples were associated with a higher density of tobacco retailers. However the magnitude of this association was small. For female couples, the association was not significant after controlling for area-level characteristics, such as percent black, percent Hispanic, median household income, the presence of interstate highways, and urbanicity, which are neighborhood correlates of higher tobacco retailer density. For male couples, the association persisted after control for these characteristics. Conclusion: Same-sex couples reside in areas with higher tobacco retailer density, and for men, this association was not explained by neighborhood confounders, such as racial/ethnic composition and income. While lesbian, gay, and bisexual disparities in tobacco use may be influenced by neighborhood environment, the magnitude of the association suggests other explanations of these disparities remain important areas of research.",,http://dx.doi.org/10.1093/ntr/ntv046,"Lee, Joseph G. L.; Pan, William K.; Henriksen, Lisa; Goldstein, Adam O.; Ribisl, Kurt M.","Department of Health Behavior, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Nicholas School of Environment and Duke Global Health Institute, Duke University , Durham, NC ;  Stanford Prevention Research Center, Stanford School of Medicine , Palo Alto, CA ;  Department of Family Medicine, School of Medicine, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Lineberger Comprehensive Cancer Center, School of Medicine, University of North Carolina at Chapel Hill , Chapel Hill, NC Department of Health Behavior, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Lineberger Comprehensive Cancer Center, School of Medicine, University of North Carolina at Chapel Hill , Chapel Hill, NC",,,1,1,
Nicotine & Tobacco Research,2016,"Minority Stress, Smoking Patterns, and Cessation Attempts: Findings From a Community-Sample of Transgender Women in the San Francisco Bay Area",article,"['bisexual', 'gay', 'lesbian', 'sex', 'transgender']","Introduction: Research has demonstrated associations between reports of minority stressors and smoking behaviors among lesbian, gay, and bisexual populations; however, little is known about how minority stressors are related to smoking behaviors and cessation attempts among transgender women. The purpose of this study was twofold: (1) to examine the associations between transgender-based discrimination and smoking patterns among a sample of transgender women; and (2) to identify barriers to smoking cessation in a sample of transgender women with a history of smoking. Methods: A community sample of 241 transgender women completed a one-time survey. Binary and multinomial logistic regression models examined associations between minority stressors and (1) smoking behaviors and (2) cessation attempts. Both models adjusted for income, education, race/ethnicity, recent sex work, HIV status, depression, alcohol use, and current hormone use. Results:  Overall, 83% of participants indicated that they had smoked a cigarette in the last month. Of these women, 62.3% reported daily smoking and 51.7% reported an unsuccessful quit attempt. Discrimination was positively associated with currently smoking (adjusted odds ratio [ AOR ] = 1.04, 95% confidence interval [CI]: 1.01, 1.08). Discrimination was positively associated with unsuccessful cessation ( AOR = 1.03, 95% CI: 1.01, 1.18) and never attempting ( AOR = 1.04, 95% CI: 1.01, 1.11) compared to successful cessation. Discrimination was also positively associated with never attempting compared to unsuccessful cessation ( AOR = 1.01, 95% CI: 1.00, 1.03).  Conclusions: Smoking cessation may be driven by unique transgender-related minority stressors, such as discrimination. Future research is warranted to address unique stigmatizing contexts when understanding and providing tailored intervention addressing smoking among transgender women.",,http://dx.doi.org/10.1093/ntr/ntv066,"Gamarel, Kristi E.; Mereish, Ethan H.; Manning, David; Iwamoto, Mariko; Operario, Don; Nemoto, Tooru","Department of Psychiatry and Human Behavior, Alpert Medical School of Brown University , Providence, RI ;  Center for Alcohol and Addiction Studies, Brown University , Providence, RI ;   Department of Behavioral and Social Sciences, School of Public Health,  Brown University , Providence, RI ;   Department of Behavioral and Social Sciences, School of Public Health,  Brown University , Providence, RI ;  Public Health Institute , Oakland, CA Department of Psychiatry and Human Behavior, Alpert Medical School of Brown University , Providence, RI ;  Center for Alcohol and Addiction Studies, Brown University , Providence, RI ;   Department of Behavioral and Social Sciences, School of Public Health,  Brown University , Providence, RI ;  Public Health Institute , Oakland, CA",,,1,1,
Nicotine & Tobacco Research,2016,"Smoking Cessation Awareness and Utilization Among Lesbian, Gay, Bisexual, and Transgender Adults: An Analysis of the 2009–2010 National Adult Tobacco Survey",article,"['bisexual', 'gay', 'heterosexual', 'lesbian', 'lgbt', 'transgender']","Introduction: Each year, there are more than 480 000 deaths in the United States attributed to smoking. Lesbian, gay, bisexual and transgender (LGBT) adults are a vulnerable population that smokes at higher rates than heterosexuals. Methods:  We used data collected from the National Adult Tobacco Survey 2009–2010, a large, nationally representative study using a randomized, national sample of US landline and cellular telephone listings, ( N = 118 590). We compared LGBT adults to their heterosexual counterparts with regard to exposure to advertisements promoting smoking cessation, and awareness and use of tobacco treatment services, including quitlines, smoking cessation classes, health professional counseling, nicotine replacement therapy, and medications.  Results: Fewer GBT men, compared to heterosexual men, were aware of the quitline. However, LGBT individuals have similar exposure to tobacco cessation advertising, as well as similar awareness of and use of evidence based cessation methods as compared to heterosexual peers. Conclusions: The similarly of awareness and use of cessation support indicates a need for LGBT-specific efforts to reduce smoking disparities. Potential interventions would include: improving awareness of, access to and acceptability of current cessation methods for LGBT patients, developing tailored cessation interventions, and denormalizing smoking in LGBT community spaces.",,http://dx.doi.org/10.1093/ntr/ntv103,"Fallin, Amanda; Lee, Youn Ok; Bennett, Keisa; Goodin, Amie","Tobacco Policy Research Program, College of Nursing, University of Kentucky , Lexington, KY ;  Public Health Research Division, RTI International , Research Triangle Park, NC ;  Department of Family and Community Medicine, College of Medicine, University of Kentucky , Lexington, KY ;  Institute for Pharmaceutical Outcomes and Policy, University of Kentucky , Lexington, KY",,,1,1,
