type,subtype,tagName,tag,entities
population characteristics,special interest,D-sp_interest,D-spi,"pregnant woman, pregnant women, pregnancy, homeless, at-risk youth, recently arrived immigrant, immigrant, appalachian youth, appalachian, medically at-risk children and adolescents, special population, prenatal care, pregnant"
population characteristics,race / ethnicity,D-race_ethnic,D-rac,"african american, african-american, blacks / african-american, blacks, aboriginal, asian american, west asian, southeast asian, asian, non-hispanic white, nonwhite, non-white, white, alaska native, hispanic / latino, non-hispanic, hispanic, latino, mixed race, two or more races, other race, ethnicity, ethnic, minorities, minority, racial / ethnic, race / ethnicity, american-indian, american indian, indian, native american, chinese, afghan, iranian, filipino, arab, japanese, korean, caribbean, english, welsh, scottish, irish, british, gypsy, malay, kadazan, murut, bajau, thai, native hawaiian, pacific islander"
population characteristics,gender identity,D-gender,D-gen,"gender minority, gender nonconforming, neither exclusively male nor female, biological sex, sex assigned at birth, sex on birth certificate, transgender man, trans man, female-to-male, FTM, transgender woman, trans woman, male-to-female, gender, sex, men, man, woman, women, male, female, girl, boy, MTF, cisgender, transgender, non-binary, trans, intersex, non-cisgender, genderqueer, genderfluid, agender"
population characteristics,sexual orientation,D-sex_orien,D-sxo,"lgb, bisexual, lesbian, gay, heterosexual, straight, homosexual, queer, pansexual, questioning, sexual orientation, same-sex, sexual minority, non-lgbt, non-lgbtq, non-lgb, non-heterosexual, asexual"
population characteristics,socioeconomic,D-social_econ,D-soc,"low-income, low income, lower-income, lower income, lowest-income, lowest income, high-income, high income, higher-income, higher income, highest-income, middle-income, low affluent, high affluent, less affluent, more affluent, affluent, poorest, poorer, socioeconomically disadvantaged, socioeconomic disadvantage, socioeconomic disparity, socioeconomic disparities, socioeconomic status, demographic, sociodemographic, low-SES, less than high school, high school diploma, high school equivalency, General Educational Development, GED, some college, associate's degree, bachelor's degree, master's degree, doctorate degree, Ph.D., PhD, professional degree, higher education, higher income status, income status, income statuses, poverty, unemployed, urban, rural, sociodemographic characteristics, being single, marital status, married, separated, divorced, widowed"
behavioral outcomes,cessation,B-cessation,B-ces,"smoking cessation, cessation rate, tobacco curing, cessation, quitting, quit attempt, quit rate, quit success, abstinence, success rate, relapsing, relapse, intention-to-quit, adherence, adherent, adherently, nonadherence, nonadherent, nonadherently, postpartum smoking relapse, quitting failure, quitting success, nonconformance, willing to quit, quitter, compliance rate, compliance, noncompliant, ever tried to quit"
behavioral outcomes,time period,B-time_period,B-tme,"12 year period, past month, 12-month, 6-month, 3-month, 30-day, 7-day, lifetime, past-30-day"
behavioral outcomes,use status,B-use_status,B-use,"smoking rate, smoking history, maternal smoking, tobacco use, cigarette use, e-cigarette use, tobacco smoking, tobacco consumption, cigarette smoking, smoking index, smoking behavior, current smoking, smoking frequency, smoking intensity, former daily smoker, never smoker, never daily smoker, former cigarette smoker, never cigarette smoker, daily / non-daily smoking, non-daily smoking, daily smoker, daily smoking, former smoker, non-smoker, nonsmoker, ever-smoker, occasional smoking, current use, occasional use, multiple tobacco product use, MTP use, dual use, poly use, polytobacco product use, PTU, current user, smoking reinforcement, consumption, initiation, escalation, ever use, lifetime use, tobacco consumption, patterns of use, urges to use, substance use, smoking status"
behavioral outcomes,intention,B-intention,B-int,"litigation, susceptibility to smoking, willingness to use, willingness to try, willingness to smoke, intentions-to-use, curiosity to try, susceptible to use, think about quitting"
behavioral outcomes,perception / belief,B-perception,B-pcp,"tobacco dependence, addiction, addictive, burden, effect of smoking, risk perception, risk, health perception, perceived harm, perceived addiction, appeal, addiction appeal, appeals, addiction appeals, appeal to, appealed to, appeal among, risk assessment"
behavioral outcomes,health / disease,B-h_disease,B-hlt,"cardiovascular disease, lung cancer, heart disease, coronary heart disease, CHD, lung disease, respiratory disease, bronchitis, chronic obstructive pulmonary disease, COPD, aecopd, emphysema, stroke, diabetes, tuberculosis, eye disease, cataract, macular degeneration, rheumatoid arthritis, heart attack, peripheral arterial disease, PAD, aortic aneurysm, peripheral vascular disease, PVD, ectopic pregnancy, placenta previa, placental abruption, premature birth, low birth-weight, miscarriage, stillbirth, birth defect, sudden infant death syndrome, SIDS, erectile dysfunction, ED, gum disease, tooth loss, lower bone density, bad breath, stained teeth, lowered immune system function, cardiorespiratory distress, distress intolerance, DI, chronic disease, mortality, acute myocardial infarction, AMI, psychiatric diagnosis, psychiatric diagnoses, cancer"
behavioral outcomes,exposure,B-exposure,B-exp,"maximum exposure, thirdhand smoke, secondhand smoke, third-hand smoke, second-hand smoke, shs, ths, pollution, shs exposure, nicotine exposure, exposure"
behavioral outcomes,prevalence,B-prevalence,B-prv,"smoking prevalence, prevalence ratio, prs, adjusted prevalence ratio, aprs, overall prevalence, prevalence, rates of use, rate"
behavioral outcomes,sentiment,B-sentiment,B-stm,"public support for, public support, sentiment"
