index,Conference,Year,Title,PaperType,Abstract,Highlights,Link,Highlights.1,AuthorNames,AuthorAffiliation
684,Tobacco Control,2019,"Is blue the new green? Repackaging menthol cigarettes in response to a flavour ban in Ontario, Canada",Brief Report,"Background As of 1 January 2017, the Canadian province of Ontario banned the distribution and sale of menthol tobacco products. There is limited knowledge about how tobacco companies will adapt their packaging in response to a menthol ban. Methods We conducted a content analysis of preban traditional menthol (no capsule) and menthol capsule cigarette packs and their postban replacements. Preban and postban packs were matched using tobacco company descriptions of replacement brands in business-to-business marketing materials, advertising on cigarette pack cellophane and a tobacco company website. Results A total of 63 menthol (n=30) and ‘non-menthol alternative’ (n=33) cigarette packs were included in the analysis. Approximately half of the preban packs were menthol capsule cigarettes and half traditional menthol cigarettes. While some postban brands continued to convey menthol-like qualities via the colour and/or brand descriptor ‘green’, ’blue' was the most common colour and brand descriptor postban. Packs shifted from using ‘menthol’ and/or ‘fresh’ as taste descriptor preban to using ‘smooth’ postban; some postban packs had ‘non-menthol alternative’ or ‘without menthol/capsules’ written on their cellophane. The presence of innovative filter technologies continued in the postban samples. Conclusion Results suggest that tobacco companies attempted to maintain menthol smokers in Ontario by aggressive preban promotion of menthol capsule cigarettes, continued promotion of innovative filter technologies and by directing smokers to non-menthol alternatives whose packaging both in text and in colour connoted menthol-like qualities (eg, green) and reduced harshness or harm (eg, blue, white, silver, smooth taste). ","There is limited knowledge about how tobacco companies will adapt their products and packaging in response to a menthol ban. In Ontario, tobacco companies developed a menthol replacement system of non-menthol alternative packaging and branding and promoted these alternatives to tobacco vendors and menthol consumers. Tobacco companies attempted to maintain menthol smokers by promoting capsule cigarettes as a way to transition onto non-menthol cigarettes; continuing to offer innovative filter technologies postban; and recommending non-menthol alternatives that communicated menthol-like qualities and/or reduced harshness and reduced harm (eg, green, blue, white, silver, smooth taste). ",http://dx.doi.org/10.1136/tobaccocontrol-2018-054454,"There is limited knowledge about how tobacco companies will adapt their products and packaging in response to a menthol ban. In Ontario, tobacco companies developed a menthol replacement system of non-menthol alternative packaging and branding and promoted these alternatives to tobacco vendors and menthol consumers. Tobacco companies attempted to maintain menthol smokers by promoting capsule cigarettes as a way to transition onto non-menthol cigarettes; continuing to offer innovative filter technologies postban; and recommending non-menthol alternatives that communicated menthol-like qualities and/or reduced harshness and reduced harm (eg, green, blue, white, silver, smooth taste). ",Tracey Borland; Sandra A D’Souza; Shawn O’Connor; Michael Oliver Chaiton; Robert Schwartz; ,"Ontario Tobacco Research Unit; Dalla Lana School of Public Health, University of Toronto; Ontario Tobacco Research Unit; Dalla Lana School of Public Health, University of Toronto; Ontario Tobacco Research Unit; Dalla Lana School of Public Health, University of Toronto; Ontario Tobacco Research Unit; Dalla Lana School of Public Health, University of Toronto; Ontario Tobacco Research Unit; Dalla Lana School of Public Health, University of Toronto; Centre for Addiction and Mental Health; "
2148,Nicotine & Tobacco Research,2020,"Prescribing Prevalence, Effectiveness, and Mental Health Safety of Smoking Cessation Medicines in Patients With Mental Disorders",article,"Objective We conducted a prospective cohort study of the Clinical Practice Research Database to estimate rates of varenicline and nicotine replacement therapy (NRT) prescribing and the relative effects on smoking cessation, and mental health. Methods We used multivariable logistic regression, propensity score matched regression, and instrumental variable analysis. Exposure was varenicline or NRT prescription. Mental disorders were bipolar, depression, neurotic disorder, schizophrenia, or prescriptions of antidepressants, antipsychotics, hypnotics/anxiolytics, mood stabilizers. Outcomes were smoking cessation, and incidence of neurotic disorder, depression, prescription of antidepressants, or hypnotics/anxiolytics. Follow-ups were 3, 6, and 9 months, and at 1, 2, and 4 years. Results In all patients, NRT and varenicline prescribing declined during the study period. Seventy-eight thousand four hundred fifty-seven smokers with mental disorders aged ≥18 years were prescribed NRT (N = 59 340) or varenicline (N = 19 117) from September 1, 2006 to December 31, 2015. Compared with smokers without mental disorders, smokers with mental disorders had 31% (95% CI: 29% to 33%) lower odds of being prescribed varenicline relative to NRT, but had 19% (95% CI: 15% to 24%) greater odds of quitting at 2 years when prescribed varenicline relative to NRT. Overall, varenicline was associated with decreased or similar odds of worse mental health outcomes than NRT in patients both with and without mental disorders, although there was some variation when analyses were stratified by mental disorder subgroup. Conclusions Smoking cessation medication prescribing may be declining in primary care. Varenicline was more effective than NRT for smoking cessation in patients with mental disorders and there is not clear consistent evidence that varenicline is adversely associated with poorer mental health outcomes. Implications Patients with mental disorders were less likely to be prescribed varenicline than NRT. We triangulated results from three analytical techniques. We found that varenicline was more effective than NRT for smoking cessation in patients with mental disorders. Varenicline was generally associated with similar or decreased odds of poorer mental health outcomes (ie, improvements in mental health) when compared with NRT. We report these findings cautiously as our data are observational and are at risk of confounding. ",,http://dx.doi.org/10.1093/ntr/ntz072,,"Taylor, Gemma M J; Itani, Taha; Thomas, Kyla H; Rai, Dheeraj; Jones, Tim; Windmeijer, Frank; Martin, Richard M; Munafò, Marcus R; Davies, Neil M; Taylor, Amy E","Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK UK Centre for Tobacco and Alcohol Studies, School of Psychological Science, University of Bristol, Bristol, UK Addiction and Mental Health Group (AIM), Department of Psychology, University of Bath, Bath, UK Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK UK Centre for Tobacco and Alcohol Studies, School of Psychological Science, University of Bristol, Bristol, UK Bristol Medical School, Population Health Sciences, Canynge Hall, University of Bristol, Bristol, UK Centre for Academic Mental Health; Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK National Institute for Health Research Collaboration for Leadership in Applied Health Research and Care West (NIHR CLAHRC West) at University Hospitals Bristol NHS Foundation Trust, Bristol, UK Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK Department of Economics, University of Bristol, Bristol, UK Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK Bristol Medical School, Population Health Sciences, Canynge Hall, University of Bristol, Bristol, UK NIHR Biomedical Research Centre at the University Hospitals Bristol NHS Foundation Trust and the University of Bristol, Bristol, UK Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK UK Centre for Tobacco and Alcohol Studies, School of Psychological Science, University of Bristol, Bristol, UK Medical Research Council Integrative Epidemiology Unit, Bristol Medical School, Population Health Sciences, University of Bristol, Bristol, UK Bristol Medical School, Population Health Sciences, Canynge Hall, University of Bristol, Bristol, UK Bristol Medical School, Population Health Sciences, Canynge Hall, University of Bristol, Bristol, UK NIHR Biomedical Research Centre at the University Hospitals Bristol NHS Foundation Trust and the University of Bristol, Bristol, UK"
2501,Nicotine & Tobacco Research,2021,Trends in Social Norms Towards Smoking Between 2002 and 2015 Among Daily Smokers: Findings From the International Tobacco Control Four Country Survey (ITC 4C),article,"Objective To assess trends in daily smokers' social norms and opinions of smoking between 2002 and 2015 in Canada, the United States, the United Kingdom, and Australia. Method Data were from wave 1 (2002) to wave 9 (2013–2015) of the longitudinal International Tobacco Control Four Country Survey (Canada, the United States, the United Kingdom, Australia), involving 23 831 adult daily smokers. Generalized estimating equation logistic regression models, adjusted for demographics and survey design effects, assessed associations of wave and country with outcomes: (A) over half of five closest friends smoke, (B) agreeing that people important to you believe you should not smoke, (C) agreeing that society disapproves of smoking, and (D) negative opinion of smoking. Results Between 2002 and 2015, adjusting for covariates, (A) over half of five closest friends smoke did not change (56% vs. 55%; adjusted odds ratio [AOR] = 0.95 [95% Confidence Interval = 0.85–1.07]), (B) agreeing that people important to you believe you should not smoke generally decreased (89% vs. 82%; AOR = 0.54 [0.46–0.64]) despite an increase around 2006–2007, (C) agreeing that society disapproves of smoking increased between 2002 and 2006–2007 (83% vs. 87%; AOR = 1.38 [1.24–1.54]) then decreased until 2013–2015 (78%; AOR = 0.74 [0.63–0.88]), and (D) negative opinion of smoking decreased between 2002 and 2010–2011 (54% vs. 49%; AOR = 0.83 [0.75–0.91]) despite an increase around 2005–2006 and at the final wave (2013–2015). Except friend smoking, Canada had the greatest, and the United Kingdom the lowest, antismoking social norms and opinions. Conclusions Except friend smoking and opinion of smoking, daily smokers' social norms became less antismoking between 2002 and 2015 despite increases around 2006–2007. Several potential explanations are discussed yet remain undetermined. Implications Increasingly comprehensive tobacco control policies alongside decreasing smoking prevalence in Canada, the United States, the United Kingdom, and Australia have led to the assumption that smoking has become denormalized in these countries. Absent from the literature is any formal assessment of social norms towards smoking over time. Contrary to our hypotheses, this study found that the injunctive social norms of daily smokers became less antismoking between 2002 and 2015, despite increases around 2006–2007. There was no change over time in the proportion of daily smokers who report that over half of their five closest friends smoke. ",,http://dx.doi.org/10.1093/ntr/ntz179,,"East, Katherine A; Hitchman, Sara C; McNeill, Ann; Ferguson, Stuart G; Yong, Hua-Hie; Cummings, K Michael; Fong, Geoffrey T; Borland, Ron","National Addiction Centre, Institute of Psychiatry, Psychology, and Neuroscience, King’s College London, London, UK UK Centre for Tobacco and Alcohol Studies, Nottingham, UK National Addiction Centre, Institute of Psychiatry, Psychology, and Neuroscience, King’s College London, London, UK UK Centre for Tobacco and Alcohol Studies, Nottingham, UK National Addiction Centre, Institute of Psychiatry, Psychology, and Neuroscience, King’s College London, London, UK UK Centre for Tobacco and Alcohol Studies, Nottingham, UK College of Health and Medicine, University of Tasmania, Hobart, TAS, Australia Cancer Council Victoria, Melbourne, VIC, Australia School of Psychology, Deakin University, Geelong, VIC, Australia Department of Psychiatry and Behavioural Sciences, Medical University of South Carolina, Charleston, SC Department of Psychology, University of Waterloo, Waterloo, ON, Canada School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada Ontario Institute for Cancer Research, Toronto, ON, Canada Cancer Council Victoria, Melbourne, VIC, Australia School of Psychological Sciences, University of Melbourne, Melbourne, VIC, Australia"
2369,Nicotine & Tobacco Research,2020,Holistic Approach to Human Rights and the Tobacco Epidemic,article,"In an article entitled “Younger individuals and their human right to harm reduction information should be considered in determining ethically appropriate public health actions,”  Kozlowski provided a thoughtful analysis related to the human right to information in public health. As public health professionals who have been using a human rights-based approach to solving the tobacco epidemic, we would like to offer our perspective on the human right to information, as well as other human rights that are germane to tobacco use.",,http://dx.doi.org/10.1093/ntr/ntz104,,"Bostic, Chris; Huber, Laurent; Romeo-Stuppy, Kelsey","Action on Smoking and Health, Washington, DC Action on Smoking and Health, Washington, DC Action on Smoking and Health, Washington, DC"
2479,Nicotine & Tobacco Research,2021,Rescuing Vapers Versus Rescuing Smokers: The Ethics,article," Suppose for the sake of argument that wide access to electronic cigarettes would help a great many smokers quit and others avoid smoking, with a dramatic cumulative effect on population health. But suppose also that nowadays, teenagers rarely benefit from that effect, because most do not smoke and are not expected to smoke as adults. Many teenagers do vape. When the net effect of vaping on general public health is expected to remain very positive, should we nevertheless fight vaping, so as to protect teenagers from the direct risks of vaping? For example, what to do if and when certain targeted regulations that would protect teenagers would also, by making it harder to vape, substantially increase smoking in the general population? This situation may be common, and, by pitting the health interests of the general population against those of teenagers, poses an ethical dilemma. This article argues philosophically that if such tradeoffs between the health interests of adolescents and those of the general population exist, morally it is both permissible and preferable to promote the health of the general population. Implications In the debate about electronic-cigarette based tobacco harm reduction, some disagreements are factual, for example, disagreements about how harmful vaping is to human lungs, and how much the option of vaping helps smokers quit. However, there is also an ethical debate: if tradeoffs between the health interests of adolescents at risk of vaping and those of the general population (driven by those of smokers) exist, who should be prioritized? This article argues that morally it is sometimes, at least, both permissible and preferable to promote the health of the general population over those of adolescents at risk of vaping. ",,http://dx.doi.org/10.1093/ntr/ntaa157,,"Eyal, Nir","Center for Population-Level Bioethics, Rutgers University, New Brunswick, NJ School of Public Health, Piscataway, NJ"
2381,Nicotine & Tobacco Research,2020,Support for E-cigarette and Tobacco Control Policies Among Parents of Adolescents,article,"Introduction Parents are essential stakeholders for policy implementation. However, data on parents’ support for e-cigarette- and tobacco-related policies is limited. This study examines parents’ support for five e-cigarette- and tobacco-related policies targeted to prevent youth initiation and exposure to industry marketing practices. Methods Data were from a 2018 nationally representative sample of US parents of 11- to 18-year-old middle and high school students. Weighted adjusted logistic regression models examined correlates of support for policy outcomes, controlling for demographics. Analyses were performed among the full sample (n = 2743) and among current tobacco users (n = 355). Results The majority of parents, including current tobacco users, supported tobacco control efforts to protect adolescents. More than 90% of all parents supported restrictions on e-cigarette marketing to youth and 75% supported a ban on flavored e-cigarette sales. Additionally, more than 80% of all parents supported increasing the age of tobacco product sale to 21, limiting tobacco retailer density near schools, and keeping tobacco products out of view where youth shop. Presence of strict home tobacco rules or reporting a high priority to prevent child’s e-cigarette use were significantly associated with higher odds of policy support. Results were similar among current tobacco users. Conclusions Parents are an important group of tobacco control stakeholders and should be utilized to garner support for tobacco control policies in the context of the recent growth in youth tobacco and e-cigarette use. Parents’ public support for tobacco control policies, particularly regulations on e-cigarette sales and marketing, can motivate advocates and policymakers to advance tobacco control policy agendas. Implications Youth tobacco and e-cigarette use in the United States has increased in recent years. Parents are important stakeholders to inform policy agendas and advance efforts to restrict youth access and exposure to tobacco products. This study provides evidence that parents of adolescents are highly supportive of youth-centered tobacco control policies, particularly those that restrict access to youth-targeted e-cigarette marketing and the sale of youth-appealing flavored e-cigarettes. Utilizing policy support to mobilize parents may be an important advocacy strategy to advance tobacco control policy agendas and curb rising rates of youth e-cigarette and tobacco use. ",,http://dx.doi.org/10.1093/ntr/ntz222,,"Czaplicki, Lauren; Perks, Siobhan N; Liu, Michael; Cuccia, Alison; Patel, Minal; Vallone, Donna; Schillo, Barbara","Schroeder Institute at Truth Initiative, Washington, DC Schroeder Institute at Truth Initiative, Washington, DC Schroeder Institute at Truth Initiative, Washington, DC Schroeder Institute at Truth Initiative, Washington, DC Schroeder Institute at Truth Initiative, Washington, DC Schroeder Institute at Truth Initiative, Washington, DC College of Global Public Health, New York University, New York, NY Department of Health, Behavior, and Society, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD Schroeder Institute at Truth Initiative, Washington, DC"
467,Tobacco Control,2018,"Market-level exposure to state antismoking media campaigns and public support for tobacco control policy in the United States, 2001–2002",Other,"Objective This study tests whether exposure to state antismoking media campaigns is associated with increased support for comprehensive bans on smoking indoors and cigarette advertising. Methods We combine commercially available data on market-level state-sponsored antismoking advertisements with three waves of the Current Population Survey’s Tobacco Use Supplement to test the relationship between market-level volume of state antismoking advertising exposure and support for tobacco control policy between 2001 and 2002. We use logistic regression to assess which message themes employed in the advertisements are associated with increased support for tobacco control policy. Results The overall market-level volume of exposure to state antismoking ads targeted to adults or the general population was associated with significant increases in support for comprehensive indoor smoking bans. These effects were driven by exposure to ads emphasising the health consequences of smoking to others, anti-industry appeals and irrationality/addiction appeals. Evidence of campaign impact on support for tobacco advertising bans was less clear and, when statistically significant, small in magnitude relative to the impact of the state economic and tobacco control policy environment. Conclusions This study shows that that large-scale antismoking media campaigns can have a meaningful secondary impact on support for comprehensive indoor smoking bans. Future research should identify the conditions under which mass media campaigns primarily targeting smoking behaviour may influence public support for a variety of other tobacco control policies. ","Many scholars suggest that a potential impact of mass media antismoking campaigns may be to increase public willingness to support tobacco control policy, but research has yet to parse out the specific impact of these campaigns in shaping public policy support. This study is the first to combine market-level data on state antismoking advertising exposure with a large national sample of US adults between 2001 and 2002 to test whether these campaigns are associated with increased support for tobacco control policy, controlling for demographic factors and other state/national antismoking campaigns, programmes and policies. Results provide the strongest evidence to date that large-scale mass media campaigns targeting adult smokers can have important secondary effects on increasing public support for tobacco control policy, particularly comprehensive indoor smoking bans. We recommend that media campaigns consider emphasising the health consequences of smoking to others, describing negative behaviour of the tobacco industry and discussing the addictive nature of tobacco in efforts to broaden support for comprehensive tobacco control efforts in the USA. ",http://dx.doi.org/10.1136/tobaccocontrol-2016-053506,"Many scholars suggest that a potential impact of mass media antismoking campaigns may be to increase public willingness to support tobacco control policy, but research has yet to parse out the specific impact of these campaigns in shaping public policy support. This study is the first to combine market-level data on state antismoking advertising exposure with a large national sample of US adults between 2001 and 2002 to test whether these campaigns are associated with increased support for tobacco control policy, controlling for demographic factors and other state/national antismoking campaigns, programmes and policies. Results provide the strongest evidence to date that large-scale mass media campaigns targeting adult smokers can have important secondary effects on increasing public support for tobacco control policy, particularly comprehensive indoor smoking bans. We recommend that media campaigns consider emphasising the health consequences of smoking to others, describing negative behaviour of the tobacco industry and discussing the addictive nature of tobacco in efforts to broaden support for comprehensive tobacco control efforts in the USA. ",Jeff Niederdeppe; Maxwell Kellogg; Christofer Skurka; Rosemary J Avery; ,Department of Communication; Cornell University; Department of Policy Analysis and Management; Cornell University; Department of Communication; Cornell University; Department of Policy Analysis and Management; Cornell University; 
1363,Nicotine & Tobacco Research,2016,Adolescents’ and Young Adults’ Knowledge and Beliefs About Constituents in Novel Tobacco Products,article,"Introduction: Novel tobacco products, such as little cigars, cigarillos, hookah, and e-cigarettes, and their smoke or aerosol contain chemicals which the FDA has determined to be Harmful or Potentially Harmful Constituents. We explored adolescents’ and young adults’ knowledge and beliefs about constituents in novel tobacco products and their smoke or aerosol, in order to inform risk communication messages. Methods: Seventy-seven adolescents and young adults (ages 13–25) participated in 10 focus groups, including 47 novel tobacco product users and 30 susceptible nonusers. Participants were asked to discuss 10 pre-selected constituents found in novel tobacco products and their smoke or aerosol. The first author analyzed the discussion for emergent themes. Results: Participants were generally familiar with arsenic, carbon monoxide, formaldehyde, and nicotine, but unfamiliar with acetaldehyde, acrolein, 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanon (NNK), and N-nitrosonornicotine (NNN). All participants had negative beliefs about most constituents, although users had positive beliefs about nicotine. “Unfamiliar” constituents were associated with similarly-sounding words (eg, acetaldehyde sounds like acetaminophen), and some participants recognized words in the chemical names of NNK/NNN (eg, “nitro”). “Familiar” constituents were associated with negative health effects and other common products the constituents are found in. All participants wanted more information about the constituents’ health effects, toxicity, and other common products. Most participants were unaware the constituents discussed are in novel tobacco products and their smoke or aerosol. Conclusions: Risk communication messages could capitalize on negative associations with familiar constituents, or attempt to educate about unfamiliar constituents, to discourage novel tobacco product use among adolescents and young adults. Implications: The results of this study have implications for how the FDA and other agencies can communicate about the risks of novel tobacco products to the general public, which will be particularly important once the Deeming Rule is finalized. Our findings suggest it may be effective to capitalize on the public’s negative beliefs about and associations with familiar constituents, or to educate about unfamiliar constituents and their health effects, their concentration and toxicity in novel tobacco products and their smoke or aerosol, and other products they are found in. ",,http://dx.doi.org/10.1093/ntr/ntw009,,"Wiseman, Kimberly D.; Cornacchione, Jennifer; Wagoner, Kimberly G.; Noar, Seth M.; Moracco, Kathryn E.; Teal, Randall; Wolfson, Mark; Sutfin, Erin L.","Department of Social Sciences and Health Policy, Wake Forest School of Medicine , Winston-Salem, NC ;  Department of Social Sciences and Health Policy, Wake Forest School of Medicine , Winston-Salem, NC ;  Department of Social Sciences and Health Policy, Wake Forest School of Medicine , Winston-Salem, NC ;  School of Media and Journalism, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill , Chapel Hill, NC Department of Health Behavior, Gillings School of Global Public Health, University of North Carolina at Chapel Hill , Chapel Hill, NC ;  Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill , Chapel Hill, NC Department of Social Sciences and Health Policy, Wake Forest School of Medicine , Winston-Salem, NC ;  Department of Social Sciences and Health Policy, Wake Forest School of Medicine , Winston-Salem, NC ;"
1074,Nicotine & Tobacco Research,2015,Maternal Smokeless Tobacco Use in Pregnancy and Adverse Health Outcomes in Newborns: A Systematic Review,article,"Background: Perinatal morbidity and mortality are important indicators of maternal health and the future health of the child. Smokeless tobacco (ST) use during pregnancy is associated with low birth weight (LBW), preterm births, stillbirths, and small for gestation age (SGA). This study systematically reviews and summarizes evidence on the association of maternal ST use with these adverse health outcomes in newborns. Methods: Electronic databases (Medline, Embase, Lilacs) were searched in July 2013 using appropriate keywords complemented with reference list searching. Observational studies of maternal ST use and these outcomes were considered; LBW, preterm, stillbirth, SGA. A comprehensive assessment of quality and risk of bias in all included studies was performed. RevMan software was used for data analysis. Results are expressed as crude odds ratios with 95% confidence intervals. Chi-square and I2 tests checked for heterogeneity and quantified inconsistency between results. Results: There were 9 studies (16 reports) included (7 cohort-studies, 1 case-control study, and 1 cross-sectional study). They were clinically and methodologically diverse. Significant associations with ST use were seen in 5/7 studies for LBW, in 3/6 studies for preterm, in all 4 studies for stillbirth and in 1/2 studies assessing SGA. Heterogeneity between results was moderate for LBW (I2 = 44%) and stillbirth (I2 = 52%), and high for preterm (I2 = 87%) and SGA (I2 = 65%). Meta-analysis was considered inappropriate due to risk of bias and confounding. Conclusions: Although most studies show an association between ST use in pregnancy and adverse health effects in newborns, these results may be limited by confounding and bias. Quality observational studies are needed to strengthen this evidence base. ",,http://dx.doi.org/10.1093/ntr/ntu255,,"Inamdar, Aadil S.; Croucher, Raymond E.; Chokhandre, Mrunalini K.; Mashyakhy, Mohammed H.; Marinho, Valeria C. C.","Department of Preventive Dental Sciences, College of Dentistry, Jazan University, Jazan, Kingdom of Saudi Arabia; Barts and The London, School of Medicine and Dentistry, Queen Mary University of London, London, UK; Department of Clinical Pharmacology, Faculty of Medicine, Jazan University, Jazan, Kingdom of Saudi Arabia; Department of Restorative Dental Sciences, College of Dentistry, Jazan University, Jazan, Kingdom of Saudi Arabia; Centre for Clinical and Diagnostic Oral Sciences, Barts and The London, School of Medicine and Dentistry, Queen Mary University of London, London, UK"
2257,Nicotine & Tobacco Research,2020,Changes in Nicotine Metabolite Ratio Among Daily Smokers Receiving Treatment for Alcohol Use Disorder,article,"Introduction Alcohol may influence the nicotine metabolite ratio (NMR), an index of the rate of nicotine metabolism that is associated smoking level and lapses. We examined if NMR changes during alcohol use disorder (AUD) treatment and how changes in NMR relate to reductions in drinking. Methods Using an observational design, 22 daily smokers [63.64% male, Mage = 46.77 (11.37)] receiving AUD treatment completed baseline and follow-up appointments 3 weeks apart. At each appointment, daily alcohol and cigarette use, salivary and urinary NMR, nicotine exposure via urinary total nicotine equivalents, and carbon monoxide were assessed. Multilevel models examined the change over time in NMR and its within-person relations with changes in drinks per week. Sex differences were evaluated. Results There were significant reductions in both salivary and urinary NMR over time for men (p = .02; p = .01, respectively) but not for women (p = .54; p = .90, respectively). There were no changes over time in total nicotine equivalents (p = .09), carbon monoxide (p = .44), or cigarette use (p = .44) in either sex. Drinks per week were significantly reduced for men (29.12 drink reduction, p < .001) but not for women (2.28 drink reduction, p = .80); however, within-person changes in drinking were not associated with changes in salivary or urinary NMR (p = .99; p = .19). Conclusions The reduction in alcohol use and NMR in men provides indirect support for alcohol increasing NMR. In contrast, the low baseline drinking and lack of alcohol reduction likely underlie the lack of change in NMR in females. Reasons for NMR reductions during AUD treatment and its effects on smoking require further study. Implications Three weeks of alcohol use disorder treatment among daily smokers coincided with a significant reduction in both alcohol use and NMR for men; however, neither drinking level nor NMR changed for women. The findings indirectly support that heavy drinking increases NMR, which is reversed with reduced drinking. Additional research is needed to establish if these changes in NMR correlate with smoking and cessation outcomes. ",,http://dx.doi.org/10.1093/ntr/nty265,,"Dermody, Sarah S; Hendershot, Christian S; Andrade, Allyson K; Novalen, Maria; Tyndale, Rachel F","School of Psychological Science, Oregon State University, Corvallis, OR Campbell Family Mental Health Research Institute, Centre for Addiction and Mental Health, Toronto, Ontario, Canada Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada Department of Psychology, University of Toronto, Toronto, Ontario, Canada Institute for Mental Health Policy Research, Centre for Addiction and Mental Health, Toronto, Ontario, Canada Department of Psychology, University of Guelph, Guelph, Ontario, Canada Department of Pharmacology and Toxicology, University of Toronto, Toronto, Ontario, Canada Campbell Family Mental Health Research Institute, Centre for Addiction and Mental Health, Toronto, Ontario, Canada Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada Department of Pharmacology and Toxicology, University of Toronto, Toronto, Ontario, Canada"
