Conference,paperIdx,tableIdx,rowIdx,colIdx,type,semantic_0,sc_ch_raw,sc_ch_raw_type,human_Check,obj_cell_values,tableLink,paperLink,semantic_0_clean,semantic_1
Nicotine & Tobacco Research,2,1,1,0,sbjCol,Sociodemographic characteristics,Sociodemographic characteristics,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,2,0,sbjCol,Sociodemographic characteristics,"Age, years",,,39.5±11.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,3,0,sbjCol,Gender,Gender,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,4,0,sbjCol,Gender,Male,,,65,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,5,0,sbjCol,Gender,Female,,,32,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,6,0,sbjCol,Gender,Transgender,,,3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
Nicotine & Tobacco Research,2,1,7,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,
Nicotine & Tobacco Research,2,1,8,0,sbjCol,Race/Ethnicity,Caucasian,,,44,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,White; 
Nicotine & Tobacco Research,2,1,9,0,sbjCol,Race/Ethnicity,Black,,,27,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,2,1,10,0,sbjCol,Race/Ethnicity,Hispanic,,,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,2,1,11,0,sbjCol,Race/Ethnicity,Asian American/Pacific Islander,,,11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Asian; Native Hawaiian and Other Pacific Islander; 
Nicotine & Tobacco Research,2,1,12,0,sbjCol,Race/Ethnicity,Multiracial/native American/other,,,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Multiracial; 
Nicotine & Tobacco Research,2,1,13,0,sbjCol,Marital status,Marital status,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,
