sc_ch_raw,tableLbink,sc_ch_raw_clean,semantic_0_clean,raceTerm,ethnicTerm
,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,,,,
# of quit attempts,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206835338,of quit attempts,,,
% ( N ) White ethnicity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87412936,n   white ethnicity,,,
% African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113609828,african american,,,
% American Indian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,american indian,,,
% American Indian or Alaska Native,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693795,american indian or alaska native,,,
% Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,asian,,,
% Asian Indian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,asian indian,,,
% Asian/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113609828,asian pacific islander,,,
% Black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,black,,,
"% Black, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/219204560,black  non hispanic,,,
% Caucasian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33451833,caucasian,,,
% Caucasian a,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113588572,caucasian a,,,
% Employed (full or part-time),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,employed  full or part time,,,
% Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113609828,hispanic,,,
% Hispanic / Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,hispanic   latino,,,
% Hispanic or Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/219204560,hispanic or latino,,,
% Hispanic or Latino/a,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225688895,hispanic or latino a,,,
% Minority,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208139892,minority,,,
% Not Hispanic/Latino/a,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225688895,not hispanic latino a,,,
% Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,other,,,
% Other/multiple race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113609828,other multiple race,,,
% ≥ Some college education,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/128203970,≥ some college education,,,
%African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302954,african american,,,
%Caucasian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302954,caucasian,,,
%Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302954,other,,,
(N=1012),"http://www.tobaccopreventioncessation.com/Sociodemographic-correlates-of-intention-to-quit-smoking-for-good-namong-U-S-adult,90968,0,2.html#t0001",n 1012,,,
(N=3178),"http://www.tobaccopreventioncessation.com/Sociodemographic-correlates-of-intention-to-quit-smoking-for-good-namong-U-S-adult,90968,0,2.html#t0001",n 3178,,,
(N=503;0.09),"http://www.tobaccopreventioncessation.com/Sociodemographic-correlates-of-intention-to-quit-smoking-for-good-namong-U-S-adult,90968,0,2.html#t0001",n 503 0 09,,,
(N=522),"http://www.tobaccopreventioncessation.com/Sociodemographic-correlates-of-intention-to-quit-smoking-for-good-namong-U-S-adult,90968,0,2.html#t0001",n 522,,,
1. The language is Chinese or English.,"http://www.tobaccoinduceddiseases.org/Economic-burden-of-smoking-attributable-diseases-in-China-nA-systematic-review,120102,0,2.html#t0001",1  the language is chinese or english,,,
11. Race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/114476365,11  race,,,
"2+ races, non-Hispanic",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137017008,2  races  non hispanic,,,
2003 Māori (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892777,2003 māori,,,
2003 Māori N = 5425 Adjusted odds ratio (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2003 māori n   5425 adjusted odds ratio  95  ci,,,
2003 Māori N = 5425 PAR (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2003 māori n   5425 par,,,
2003 Māori N = 5425 Prevalence of exposure (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2003 māori n   5425 prevalence of exposure,,,
2003 Māori N = 5425 Unadjusted odds ratio (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2003 māori n   5425 unadjusted odds ratio  95  ci,,,
2003 Non-Māori (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892777,2003 non māori,,,
2011 Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120016562,2011 hispanic,,,
2013 Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120016562,2013 hispanic,,,
2015 Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120016562,2015 hispanic,,,
2015 Māori (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892777,2015 māori,,,
2015 Māori N = 4215 Adjusted odds ratio (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2015 māori n   4215 adjusted odds ratio  95  ci,,,
2015 Māori N = 4215 PAR (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2015 māori n   4215 par,,,
2015 Māori N = 4215 Prevalence of exposure (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2015 māori n   4215 prevalence of exposure,,,
2015 Māori N = 4215 Unadjusted odds ratio (95% CI),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892765,2015 māori n   4215 unadjusted odds ratio  95  ci,,,
2015 Non-Māori (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/132892777,2015 non māori,,,
3 Algeria OR Bahrain OR Djibouti OR Dubai OR United Arab Emirates OR Egypt OR Iran OR Iraq OR Jordan OR Kuwait OR Lebanon OR Libya OR Morocco OR Oman OR Palestine OR Qatar OR Saudi Arabia OR Syria OR Tunisia OR West Bank and Gaza OR Yemen OR Middle East OR North Africa,"http://www.tobaccoinduceddiseases.org/Smokeless-tobacco-and-oral-cancer-in-the-Middle-East-and-nNorth-Africa-A-systematic,110259,0,2.html#t0001",3 algeria or bahrain or djibouti or dubai or united arab emirates or egypt or iran or iraq or jordan or kuwait or lebanon or libya or morocco or oman or palestine or qatar or saudi arabia or syria or tunisia or west bank and gaza or yemen or middle east or north africa,,,
3. Race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/48911952,3  race,,,
"30-Day heavy drinking days (M, SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,30 day heavy drinking days  m  sd,,,
8. Adolescent race/ethnicity,"http://www.tobaccopreventioncessation.com/An-examination-of-social-and-environmental-determinants-of-secondhand-smoke-exposure,131875,0,2.html#t0001",8  adolescent race ethnicity,,,
< High school diploma,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45372873,high school diploma,,,
"<100% of federal poverty level,N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302895,100  of federal poverty level n,,,
>1 race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42242055,1 race,,,
A Chinese mind-body aerobic exercise,"http://www.tobaccopreventioncessation.com/Pilot-study-of-a-3-day-residential-treatment-for-smoking-ncessation-in-Hong-Kong,101577,0,2.html#t0001",a chinese mind body aerobic exercise,,,
"A representative of the European Economic and Social Committee, Belgium",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45371741,a representative of the european economic and social committee  belgium,,,
AA/black,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208137916,aa black,,,
