Conference,paperIdx,tableIdx,rowIdx,colIdx,type,sc_ch_semantic_0,sc_ch_raw,sc_ch_raw_type,human_Check,obj_cell_values,tableLink,paperLink,semantic_0_clean,semantic_1
Nicotine & Tobacco Research,1,1,4,0,sbjCol,Race/Ethnicity,"Race (% Black, % White)",,,"12.5%, 68.4%; 9.5%, 75.9%; 11.6%, 73.2%; 16.7%, 65.7%",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32940483,http://dx.doi.org/10.1093/ntr/ntu345,Race/Ethnicity,
Nicotine & Tobacco Research,1,1,5,0,sbjCol,Race/Ethnicity,Hispanic (%),,,12.3%; 9.8%; 5.5%; 7.3%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32940483,http://dx.doi.org/10.1093/ntr/ntu345,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,2,1,7,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,
Nicotine & Tobacco Research,2,1,8,0,sbjCol,Race/Ethnicity,Caucasian,,,44,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,White; 
Nicotine & Tobacco Research,2,1,9,0,sbjCol,Race/Ethnicity,Black,,,27,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,2,1,10,0,sbjCol,Race/Ethnicity,Hispanic,,,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,2,1,11,0,sbjCol,Race/Ethnicity,Asian American/Pacific Islander,,,11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Asian; Native Hawaiian and Other Pacific Islander; 
Nicotine & Tobacco Research,2,1,12,0,sbjCol,Race/Ethnicity,Multiracial/native American/other,,,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,Race/Ethnicity,Multiracial; 
Nicotine & Tobacco Research,4,1,5,0,sbjCol,Race/Ethnicity,Ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,Race/Ethnicity,
Nicotine & Tobacco Research,4,1,6,0,sbjCol,Race/Ethnicity,Chinese,,,24 (25.0%); 24 (25.0%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,Race/Ethnicity,Chinese; 
Nicotine & Tobacco Research,4,1,7,0,sbjCol,Race/Ethnicity,Vietnamese,,,72 (75.0%); 72 (75.0%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,Race/Ethnicity,Vietnamese; 
Nicotine & Tobacco Research,5,1,11,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,
Nicotine & Tobacco Research,5,1,12,0,sbjCol,Race/Ethnicity,Black Africans,,,74.2 (71.6–76.6); 21.9 (15.7–29.6); 18.7 (16.0–21.7); 17.1 (14.5–20.1); −2.7 (−9.8 to 4.9); .07,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,5,1,14,0,sbjCol,Race/Ethnicity,White,,,12.8 (11.2–14.7); 26.0 (16.7–38.2); 28.1 (20.9–36.5); 28.2 (22.3–35.1); 1.6 (−31.3 to 50.1); .53,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,Race/Ethnicity,White; 
