idx,Year,Location,Country,Global,paperIdx,tableIdx,Race/Ethnicity,RaceGroup,RaceSubGroup,total,unit,type,value,proportion,tableLink,paperLink,"Coder1 (0-weighted, 1=unweighted) ",Coder 1 notes,"Coder2 (0-weighted, 1=unweighted) ",Unnamed: 20
0,2015,Transtheoretical,Other,Foreign,2,1,White;,White,,100,num,mean ± SD or number,44,44,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,,,
1,2015,Transtheoretical,Other,Foreign,2,1,Black or African American;,Black or African American,,100,num,mean ± SD or number,27,27,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,,,
2,2015,Transtheoretical,Other,Foreign,2,1,; Hispanic,Hispanic,,100,num,mean ± SD or number,9,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,,,
3,2015,Transtheoretical,Other,Foreign,2,1,Asian; Native Hawaiian and Other Pacific Islander;,,,100,num,mean ± SD or number,11,11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,,,
4,2015,Transtheoretical,Other,Foreign,2,1,Multiracial;,Multiracial,,100,num,mean ± SD or number,9,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,http://dx.doi.org/10.1093/ntr/ntv034,,,,
0,2015,Florida,USA,USA,3,1,White;,White,,519,%,,64.2,64.2,https://tobaccocontrol.bmj.com/highwire/markup/145103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051130,,,,
1,2015,Florida,USA,USA,3,1,Black or African American;,Black or African American,,519,%,,12.7,12.7,https://tobaccocontrol.bmj.com/highwire/markup/145103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051130,,,,
2,2015,Florida,USA,USA,3,1,; Hispanic,Hispanic,,519,%,,18.1,18.1,https://tobaccocontrol.bmj.com/highwire/markup/145103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051130,,,,
3,2015,Florida,USA,USA,3,1,Others;,Others,,519,%,,5,5,https://tobaccocontrol.bmj.com/highwire/markup/145103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2013-051130,,,,
5,2015,USA (assumed),USA,USA,4,1,Chinese;,Asian,,96,num,smokers,24,25,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,,,,
6,2015,USA (assumed),USA,USA,4,1,Chinese;,Asian,,96,num,family member participants,24,25,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,,,,
7,2015,USA (assumed),USA,USA,4,1,Vietnamese;,Asian,,96,num,smokers,72,75,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,,,,
8,2015,USA (assumed),USA,USA,4,1,Vietnamese;,Asian,,96,num,family member participants,72,75,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,http://dx.doi.org/10.1093/ntr/ntv088,,,,
9,2015,South Africa,Other,Foreign,5,1,Black or African American;,Black or African American,,100,%,all respondents,74.2,74.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
10,2015,South Africa,Other,Foreign,5,1,Black or African American;,Black or African American,,25,%,2003,21.9,21.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32936618,http://dx.doi.org/10.1093/ntr/ntu264,,,,
